date,cpi_us,cpi_goods,cpi_services,indpro,oil_price,gscpi,cpi_yoy,cpi_goods_yoy,cpi_services_yoy,indpro_yoy,oil_yoy
2001-01-01,175.6,150.6,200.6,91.902,25.79,-0.9038968007043281,3.7212049616065945,2.6584867075664764,4.479166666666656,0.3976490637767949,0.6111833550066281
2001-02-01,176.0,150.8,201.2,91.3034,27.8965,-0.7642382350974467,3.529411764705892,2.168021680216814,4.519480519480523,-0.5668458865284554,-0.47796615928245023
2001-03-01,176.1,150.5,201.6,91.1162,25.0345454545454,-0.5667790356887374,2.9824561403508643,0.9389671361502483,4.401864319005688,-1.122295725249156,-8.94657471819611
2001-04-01,176.4,150.9,202.0,90.7891,26.0180952380952,-0.9773824770087437,3.2182562902282053,1.6161616161616266,4.392764857881137,-2.0602186217959284,12.372190978017139
2001-05-01,177.3,151.9,202.7,90.3555,28.4382608695652,-1.0970363781762775,3.5630841121495394,2.289562289562297,4.484536082474211,-2.791181055600911,2.276707530647748
2001-06-01,177.7,151.9,203.5,89.8784,28.0038095238095,-0.6773502568150417,3.193960511033689,1.5374331550802145,4.412519240636215,-3.3422163718917375,-8.133574471197324
2001-07-01,177.4,150.9,203.8,89.3028,24.9913636363636,-0.8055078302109189,2.7214823393167498,0.7343124165553938,4.138988247317332,-3.773511714911293,-13.507591488902747
2001-08-01,177.4,150.4,204.4,89.2003,25.7360869565217,-0.7611324685926918,2.7214823393167498,0.8042895442359255,4.126337238920019,-3.6215277665228585,-18.631696152418755
2001-09-01,178.1,151.6,204.5,88.7485,25.837,-0.6556018370878395,2.5921658986175045,0.7978723404255206,3.8598273235144642,-4.55015745457048,-22.552064747277235
2001-10-01,177.6,150.3,204.8,88.5052,21.0326086956522,-1.1900747951004411,2.127659574468077,0.13324450366423157,3.591299949418314,-4.440502321905382,-32.80902167915255
2001-11-01,177.5,149.2,205.6,87.97,19.1054545454545,-1.4114483151805437,1.894374282433997,-0.7318695941450626,3.7859666834931804,-5.044913960783126,-41.89499294976377
2001-12-01,177.4,148.3,206.1,87.9324,18.6814285714286,-1.1362130511021291,1.603665521191311,-1.396276595744672,3.6720321931589472,-4.774776238202749,-26.669657376773326
2002-01-01,177.7,148.3,206.8,88.5176,20.0330434782609,-0.8856571557479804,1.1958997722095743,-1.527224435590957,3.090727816550354,-3.682618441383212,-22.32243707537456
2002-02-01,178.0,148.3,207.5,88.5278,20.545,-0.45082644584335524,1.1363636363636465,-1.6578249336870021,3.131212723658061,-3.0399744149724905,-26.352768268420768
2002-03-01,178.5,149.0,207.9,89.1686,24.0009523809524,-0.41459496310416044,1.3628620102214661,-0.9966777408637828,3.125,-2.1374903694403535,-4.12866722693116
2002-04-01,179.3,150.0,208.5,89.604,25.9454545454545,-0.565669058216663,1.643990929705219,-0.5964214711729698,3.2178217821782207,-1.3053329089064758,-0.2791929692621764
2002-05-01,179.5,149.7,209.0,89.964,25.5495652173913,-0.2936882240698684,1.2408347433727984,-1.4483212639894827,3.1080414405525447,-0.43328851038398897,-10.157778864970613
2002-06-01,179.6,149.7,209.3,90.7061,24.368,-0.6092190201298531,1.0692177827799743,-1.4483212639894827,2.8501228501228493,0.920910919642548,-12.983267582641755
2002-07-01,180.0,149.9,209.9,90.6769,25.8578260869565,-0.937349741812099,1.465614430665152,-0.6626905235255109,2.9931305201177594,1.5386975548359105,3.467047509693133
2002-08-01,180.5,150.2,210.6,90.5762,26.62,-1.0669488096329849,1.747463359639223,-0.13297872340426453,3.033268101761255,1.5424836015125454,3.4345277313197364
2002-09-01,180.8,150.2,211.1,90.6531,28.3709523809524,-1.1234024470275752,1.516002245929271,-0.9234828496042291,3.2273838630806795,2.146064440525741,9.807455900268614
2002-10-01,181.2,150.5,211.7,90.4643,27.5226086956522,-1.2180235799821122,2.0270270270270174,0.13306719893546592,3.369140624999978,2.2135422551443185,30.8568475452196
2002-11-01,181.5,150.5,212.4,90.9711,24.2504761904762,-0.7398759939709402,2.2535211267605604,0.8713136729222581,3.30739299610896,3.4115039217915255,26.92959559156778
2002-12-01,181.8,150.3,213.0,90.4652,28.3172727272727,-0.6738891857672794,2.4802705749718212,1.3486176668914274,3.3478893740902516,2.880394484854265,51.579803541262216
2003-01-01,182.6,151.3,213.7,91.2361,30.8086956521739,-0.6171754904767034,2.757456387169399,2.022926500337152,3.336557059961298,3.071140654513904,53.789391440228876
2003-02-01,183.6,152.7,214.2,91.3445,32.6625,-0.29637324143003824,3.146067415730336,2.96695886716114,3.2289156626506,3.1817124112425654,58.980287174495
2003-03-01,183.9,152.6,215.0,91.1044,30.1680952380952,-0.3128011190588196,3.025210084033625,2.4161073825503365,3.4151034151034043,2.1709435832793167,25.695408912344497
2003-04-01,183.2,151.1,215.1,90.5617,25.035,-0.5442848519738519,2.175125488008911,0.7333333333333192,3.1654676258992875,1.0688138922369639,-3.509110021022954
2003-05-01,182.9,149.4,216.0,90.537,25.7145454545455,-0.1944982037968746,1.8941504178273005,-0.2004008016031955,3.349282296650724,0.636921435240767,0.6457262021895449
2003-06-01,183.1,149.7,216.2,90.6527,27.5666666666667,-0.10119570839344251,1.948775055679297,0.0,3.296703296703285,-0.05887145406980876,13.126504705624997
2003-07-01,183.7,150.3,216.8,91.1185,28.5039130434783,0.012490521508674803,2.055555555555544,0.26684456304202353,3.287279656979525,0.48700385655000566,10.233215072386038
2003-08-01,184.5,151.4,217.2,90.9197,29.7180952380952,-0.05301701490822258,2.216066481994461,0.7989347536617952,3.1339031339031376,0.37923869625795525,11.6382240349181
2003-09-01,185.1,152.1,217.8,91.5059,27.0440909090909,0.07119611496024672,2.378318584070782,1.2649800266311573,3.1738512553292297,0.9407289987876988,-4.676830915102881
2003-10-01,184.9,151.1,218.4,91.6186,29.435652173913,-0.25865802134636634,2.041942604856528,0.39867109634550424,3.164855928200283,1.2759729528664998,6.950807241477097
2003-11-01,185.0,151.1,218.6,92.2329,28.9485,-0.401718263288497,1.9283746556473913,0.39867109634550424,2.9190207156308823,1.387033904173962,19.372913639398305
2003-12-01,185.5,151.6,219.0,92.2602,29.7434782608696,-0.3553559981389304,2.0352035203520247,0.8649367930804841,2.8169014084507005,1.9841883950955763,5.036521515800163
2004-01-01,186.3,152.5,219.7,92.4006,30.9818181818182,-0.4913628680359072,2.026286966046009,0.7931262392597338,2.8076743097800616,1.2763588097255418,0.5619274882612046
2004-02-01,186.7,153.1,220.1,92.958,30.795,-0.36963974736053534,1.688453159041381,0.2619515389652882,2.7544351073762963,1.7663898756903773,-5.717566016073484
2004-03-01,187.1,153.3,220.8,92.5861,33.424347826087,0.005468270477500728,1.7400761283306032,0.4587155963302836,2.6976744186046675,1.626375894029275,10.793696328165648
2004-04-01,187.4,153.0,221.4,92.93,33.3577272727273,0.4195191848710248,2.2925764192139875,1.2574454003970947,2.9288702928870425,2.615123170170186,33.24436697714121
2004-05-01,188.2,154.2,221.9,93.6013,37.5890476190476,0.3738630140835034,2.8977583378895444,3.2128514056224855,2.731481481481479,3.38458309862264,46.17815308262845
2004-06-01,188.9,154.9,222.7,92.871,35.4377272727273,0.4259783458024833,3.1676679410158393,3.473613894455596,3.0064754856614195,2.447031362551799,28.55281961086067
2004-07-01,189.1,154.6,223.2,93.5649,38.2268181818182,-0.4397001804907234,2.939575394665228,2.8609447771124286,2.952029520295185,2.6848554355043186,34.11077322439595
2004-08-01,189.2,154.4,223.7,93.6277,42.2240909090909,0.08005181265582101,2.5474254742547275,1.9815059445178251,2.992633517495391,2.9784524146032165,42.08209029145462
2004-09-01,189.8,154.9,224.2,93.7467,43.3159090909091,-0.006324558138324521,2.5391680172879516,1.8408941485864583,2.9384756657483857,2.448803847620762,60.16773954989336
2004-10-01,190.8,156.7,224.6,94.5465,49.7361904761905,-0.6034350551210184,3.1909140075716547,3.7061548643282594,2.8388278388278287,3.1957484615569243,68.96581798948085
2004-11-01,191.7,157.8,225.4,94.7813,43.7486363636364,-0.05428690750717338,3.621621621621607,4.434149569821333,3.1107044830741115,2.763005391785356,51.125745249793255
2004-12-01,191.7,157.4,225.8,95.5365,39.965652173913,0.10877522262830534,3.3423180592991875,3.825857519788922,3.1050228310502304,3.551152067738861,34.367782487940055
2005-01-01,191.6,156.8,226.2,95.8801,44.1747619047619,-0.11145878601502454,2.8448738593666034,2.8196721311475548,2.9585798816567976,3.7656681883018184,42.582858260675074
2005-02-01,192.4,157.5,226.9,96.5761,45.721,-0.11676533435736172,3.0530262453133394,2.8739386022207825,3.0895047705588485,3.8921878697906642,48.46890729014448
2005-03-01,193.1,157.9,228.0,96.4456,53.2291304347826,-0.2672021085146623,3.2068412613575736,3.0006523157207976,3.2608695652173836,4.168552298887196,59.252562568291545
2005-04-01,193.7,158.6,228.5,96.6532,52.6042857142857,-1.3112278300616742,3.3617929562433257,3.6601307189542354,3.2068654019873577,4.006456472613795,57.6974512807833
2005-05-01,193.6,158.1,228.9,96.7402,49.2854545454545,-0.9790738830669367,2.869287991498415,2.529182879377445,3.154574132492116,3.3534790649275337,31.116529061725817
2005-06-01,193.7,158.0,229.1,97.1753,54.8390909090909,-0.9307022258236498,2.541026998411855,2.0012911555842505,2.8738212842388977,4.6347083589064475,54.74776496543217
2005-07-01,194.9,159.6,229.9,96.8676,57.6257142857143,-0.8753971871513563,3.067160232681121,3.2341526520051733,3.0017921146953563,3.5298493345260917,50.746823896326234
2005-08-01,196.1,161.5,230.4,97.1833,63.9504347826087,-0.49184279899489236,3.6469344608879517,4.598445595854916,2.9950827000447156,3.797594088074363,51.45485291866898
2005-09-01,198.8,166.0,231.4,95.3005,63.2613636363636,0.08502661522368045,4.741833508956805,7.165913492575848,3.211418376449604,1.6574450087309733,46.0464872238836
2005-10-01,199.1,164.8,233.1,96.4572,58.9085714285714,-0.06798622825706716,4.350104821802936,5.1691129546905135,3.7845057880676825,2.0209103457029087,18.44206575646734
2005-11-01,198.1,161.8,234.2,97.5414,55.4495454545455,-0.6278106875519718,3.3385498174230532,2.5348542458808687,3.9041703637976877,2.9120723180627417,26.745768699284135
2005-12-01,198.1,161.5,234.4,98.0452,57.1568181818182,-0.6910030017169366,3.3385498174230532,2.6048284625158846,3.8086802480070903,2.6259073757150198,43.014851685884636
2006-01-01,199.3,162.9,235.5,98.1999,63.3118181818182,-0.35713670431497574,4.018789144050117,3.890306122448983,4.111405835543769,2.4194801632455576,43.32124374165191
2006-02-01,199.4,162.5,235.9,98.2413,60.8055,-0.7211993110784223,3.63825363825363,3.1746031746031855,3.9665050683120207,1.7242361205308532,32.99249797685966
