rank,port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,ranking_value_2017_2019,cumulative_share,inclusion_status,inclusion_reason
1,san_pedro_bay,San Pedro Bay (Los Angeles/Long Beach),Pacific,2704;2709,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,286294960801.6667,0.36568157992223,included,top_20
2,new_york_new_jersey,Port of New York and New Jersey,Atlantic,1001;1003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,127269614832.66666,0.5282417371034258,included,top_20
23,tampa_fl,"Tampa, Fl",Gulf,1801,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,991380733.0,0.9913144779649022,excluded_by_selection_rule,outside_selected_coverage
24,wilmington_de,"Wilmington, De",Atlantic,1103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,883260790.3333334,0.9924426577986935,excluded_by_selection_rule,outside_selected_coverage
25,port_hueneme_ca,"Port Hueneme, Ca",Pacific,2713,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,657043134.3333334,0.9932818921700121,excluded_by_selection_rule,outside_selected_coverage
26,brunswick_ga,"Brunswick, Ga",Atlantic,1701,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,568729997.0,0.9940083250882505,excluded_by_selection_rule,outside_selected_coverage
27,panama_city_fl,"Panama City, Fl",Gulf,1818,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,497657584.0,0.9946439779515347,excluded_by_selection_rule,outside_selected_coverage
28,galveston_tx,"Galveston, Tx",Gulf,5310,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,489601450.3333333,0.9952693407989589,excluded_by_selection_rule,outside_selected_coverage
29,portland_me,"Portland, Me",Atlantic,0101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,475053012.3333333,0.9958761210776282,excluded_by_selection_rule,outside_selected_coverage
30,san_diego_ca,"San Diego, Ca",Pacific,2501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,454943199.0,0.9964572153005911,excluded_by_selection_rule,outside_selected_coverage
31,port_manatee_fl,"Port Manatee, Fl",Gulf,1821,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,311516597.0,0.996855112214473,excluded_by_selection_rule,outside_selected_coverage
32,corpus_christi_tx,"Corpus Christi, Tx",Gulf,5312,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,288319956.6666667,0.9972233803005816,excluded_by_selection_rule,outside_selected_coverage
33,west_palm_beach_fl,"West Palm Beach, Fl",Atlantic,5204,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,237505715.0,0.9975267438835751,excluded_by_selection_rule,outside_selected_coverage
34,freeport_tx,"Freeport, Tx",Gulf,5311,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,187571502.66666666,0.9977663270157806,excluded_by_selection_rule,outside_selected_coverage
35,richmond_ca,"Richmond, Ca",Pacific,2812,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,176674214.0,0.9979919911543533,excluded_by_selection_rule,outside_selected_coverage
36,morgan_city_la,"Morgan City, La",Gulf,2001,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,166526827.0,0.9982046941409036,excluded_by_selection_rule,outside_selected_coverage
