mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
259001000,228.0,32.0,8.2,70.0,,158,2025,2025
259002000,179.0,28.0,10.2,70.0,,57,2019,2019
259006000,76.0,16.0,5.2,70.0,,1267,2021,2021
259023000,228.0,32.0,9.2,70.0,,1174,2023,2024
259024000,265.0,32.0,10.2,70.0,,1612,2023,2025
259025000,182.0,31.0,9.0,70.0,,985,2018,2019
259071000,226.0,36.0,11.8,80.0,,852,2018,2019
259075000,200.0,36.0,9.4,70.0,,133,2025,2025
259093000,189.0,32.0,12.9,70.0,,900,2020,2022
259095000,181.0,32.0,8.5,80.0,,116,2024,2024
259099000,189.0,32.0,12.9,70.0,,1014,2015,2019
259104000,,,,80.0,,423,2018,2018
259106000,252.0,45.0,12.2,80.0,,46,2025,2025
259127000,225.0,36.0,11.7,80.0,,331,2025,2025
259135000,200.0,32.0,6.8,70.0,,253,2022,2022
259164000,108.0,18.0,6.0,79.0,,129,2024,2024
259165000,199.0,32.0,10.6,70.0,,433,2025,2025
259190000,179.0,27.0,7.0,80.0,,248,2025,2025
259266000,183.0,32.0,12.2,80.0,,637,2018,2018
259274000,200.0,37.0,9.3,70.0,,847,2019,2025
259291000,200.0,32.0,10.0,70.0,,933,2017,2018
259409000,189.0,30.0,12.8,70.0,,316,2018,2018
259701000,189.0,32.0,12.4,70.0,,1933,2021,2023
259708000,225.0,36.0,12.0,80.0,,2887,2018,2021
259709000,179.0,32.0,9.6,70.0,,412,2018,2018
259712000,225.0,36.0,12.6,80.0,,1945,2015,2019
259717000,189.0,30.0,12.8,70.0,,755,2017,2019
259725000,198.0,31.0,12.3,70.0,,635,2022,2024
259739000,179.0,32.0,9.6,70.0,,204,2019,2023
259756000,183.0,32.0,10.7,80.0,,1749,2015,2021
259767000,225.0,32.0,13.9,70.0,,914,2018,2021
259769000,144.0,24.0,6.6,80.0,,727,2024,2024
259773000,183.0,32.0,10.7,80.0,,1181,2019,2021
259776000,225.0,32.0,14.17,79.0,,792,2015,2015
259777000,228.0,32.0,14.2,80.0,,243,2020,2020
259781000,226.0,37.0,11.8,80.0,,1329,2016,2019
259786000,226.0,37.0,11.4,80.0,,3355,2015,2023
259787000,183.0,32.0,11.5,81.0,,3613,2015,2023
259788000,182.0,32.0,13.3,80.0,,3148,2015,2025
259794000,189.0,32.0,12.9,70.0,,127,2018,2018
259805000,231.0,32.0,11.3,70.0,,2025,2018,2023
259810000,229.0,32.0,14.18,89.0,,1831,2015,2019
259830000,183.0,32.0,10.7,80.0,,1293,2018,2019
259882000,183.0,32.0,11.1,80.0,,400,2015,2015
259885000,198.0,31.0,12.0,70.0,,2809,2015,2025
259887000,148.0,24.0,9.4,89.0,,1198,2015,2016
259890000,164.0,23.0,9.6,80.0,,798,2015,2022
259894000,164.0,23.0,9.8,84.0,,334,2021,2021
259895000,231.0,32.0,11.3,70.0,,2459,2015,2022
259898000,148.0,23.0,9.9,82.0,,1312,2015,2017
259917000,182.0,31.0,9.0,70.0,,367,2018,2018
259924000,183.0,32.0,9.0,70.0,,1101,2015,2018
259927000,183.0,32.0,10.7,80.0,,2990,2015,2022
259928000,183.0,32.0,9.6,80.0,,749,2020,2025
259932000,189.0,32.0,12.6,70.0,,456,2023,2023
259933000,189.0,32.0,12.6,70.0,,397,2021,2021
259951000,190.0,32.0,10.9,70.0,,1228,2022,2025
259982000,183.0,32.0,11.6,80.0,,207,2025,2025
259997000,226.0,37.0,11.8,84.0,,484,2015,2018
262005000,180.0,28.0,7.4,70.0,,878,2023,2025
262006000,179.0,28.0,10.8,70.0,,1066,2018,2024
262007000,180.0,30.0,10.3,70.0,,1245,2021,2021
265021000,188.0,32.0,,70.0,,507,2023,2023
265055000,200.0,37.0,7.7,70.0,,501,2024,2024
265491000,228.0,32.0,11.0,70.0,,672,2016,2024
265827240,200.0,36.0,8.8,70.0,,340,2022,2024
265862000,178.0,26.0,6.9,79.0,,465,2015,2015
265884000,227.0,32.0,9.5,70.0,,1242,2018,2025
266018000,292.0,32.0,11.64,79.0,,661,2015,2015
266040000,195.0,26.0,6.2,70.0,,230,2019,2019
266210000,199.0,32.0,11.3,70.0,,1181,2015,2017
266259000,227.0,32.0,11.3,70.0,,636,2017,2019
266260000,227.0,32.0,11.3,70.0,,1113,2015,2019
266261000,227.0,32.0,11.3,70.0,,1527,2021,2025
266282000,231.0,32.0,11.3,70.0,,2206,2015,2025
266283000,231.0,32.0,11.3,70.0,,3838,2015,2025
266338000,231.0,32.0,11.3,70.0,,960,2018,2025
266339000,231.0,32.0,11.3,70.0,,2303,2015,2024
269008000,161.0,25.0,8.6,70.0,,1363,2018,2019
269021000,161.0,25.0,8.6,70.0,,926,2021,2021
269023000,189.0,32.0,12.8,70.0,,471,2018,2018
269025000,189.0,32.0,12.8,70.0,,1091,2022,2023
269032000,110.0,18.0,6.7,80.0,,634,2020,2020
269056000,190.0,32.0,10.3,70.0,,700,2020,2024
269066000,,,,70.0,,613,2023,2023
269084000,240.0,,,70.0,,1,2022,2022
269095000,190.0,,,70.0,,390,2022,2022
269108000,180.0,28.0,10.0,70.0,,5,2015,2015
269149000,181.0,30.0,9.8,70.0,,225,2015,2018
269308000,240.0,,,70.0,,135,2018,2018
269666000,154.0,23.0,9.6,70.0,,211,2019,2019
269669000,140.0,22.0,6.8,70.0,,562,2017,2017
269684000,155.0,24.0,9.2,70.0,,572,2015,2017
269817000,164.0,23.0,8.2,82.0,,883,2015,2016
269837000,181.0,30.0,9.1,70.0,,461,2024,2024
271000666,190.0,32.0,12.0,79.0,,880,2015,2016
271000773,269.0,46.0,17.5,80.0,,377,2022,2022
271000845,238.0,32.0,12.7,70.0,,458,2019,2019
271001254,190.0,32.0,12.0,70.0,,80,2019,2023
271002559,125.0,20.0,7.6,80.0,,459,2023,2023
271040248,190.0,32.0,12.52,79.0,,473,2015,2015
271040311,189.0,32.0,12.7,70.0,,982,2019,2022
271042325,169.0,27.0,10.0,70.0,,846,2025,2025
271042433,182.0,28.0,11.0,70.0,,3246,2017,2024
271042516,189.0,32.0,12.8,70.0,,93,2018,2018
271042601,190.0,33.0,9.0,79.0,,467,2015,2015
271042625,200.0,32.0,11.0,70.0,,567,2015,2018
271042643,179.0,28.0,9.79,70.0,,311,2015,2018
271042654,269.0,46.0,17.52,89.0,,491,2015,2019
271042759,182.0,28.0,11.0,70.0,,3709,2018,2025
271042805,229.0,32.0,14.6,70.0,,455,2022,2022
271042960,179.0,28.0,9.0,79.0,,426,2015,2015
271042996,119.0,20.0,7.4,80.0,,1376,2020,2024
271043022,155.0,21.0,8.6,80.0,,463,2021,2021
271043028,183.0,28.0,11.0,70.0,,2994,2020,2025
271043213,200.0,32.0,11.6,79.0,,1488,2016,2023
271043241,223.0,32.0,13.4,70.0,,9047,2017,2023
271043758,179.0,30.0,10.1,70.0,,1966,2018,2020
271044090,119.0,20.0,7.4,80.0,,756,2020,2022
271044408,130.0,20.0,8.3,84.0,,617,2017,2017
271045704,145.0,21.0,6.4,80.0,,814,2021,2022
271046486,154.0,22.0,9.1,80.0,,242,2021,2021
271048031,169.0,27.0,9.7,70.0,,461,2021,2021
271049229,110.0,17.0,5.0,89.0,,439,2022,2022
271049458,100.0,17.0,5.0,82.0,,399,2022,2022
271051145,244.0,42.0,8.5,80.0,,134,2023,2023
271052023,199.0,32.0,7.9,70.0,,429,2025,2025
271052065,225.0,32.0,6.0,70.0,,1997,2024,2025
273317180,180.0,22.0,9.9,70.0,,7225,2018,2019
273323280,183.0,32.0,12.5,80.0,,242,2016,2016
273383370,148.0,20.0,9.4,70.0,,60,2020,2020
275508000,139.0,22.0,7.0,70.0,,3474,2021,2023
275535000,134.0,20.0,5.9,79.0,,544,2024,2024
275542000,89.0,12.0,4.1,70.0,,3179,2025,2025
275543000,89.0,12.0,3.8,70.0,,5052,2024,2025
275544000,89.0,12.0,3.6,70.0,,2109,2025,2025
277550000,101.0,18.0,4.8,70.0,,769,2022,2024
303031000,272.0,46.0,17.5,80.0,,2296,2020,2025
303104000,191.0,32.0,13.2,80.0,,9057,2015,2025
303105000,192.0,32.0,13.1,80.0,,2201,2015,2016
303210000,199.0,32.0,11.3,70.0,,3265,2016,2025
303270000,183.0,32.0,13.3,80.0,,3124,2020,2025
303281000,72.0,13.0,3.5,70.0,,1239,2015,2015
303294000,287.0,50.0,18.8,80.0,,2510,2017,2022
303340000,300.0,40.0,10.7,70.0,,1705,2022,2024
303348100,128.0,17.0,5.0,70.0,,46180,2018,2025
303352000,299.0,42.0,9.4,79.0,,4617,2018,2024
303417000,292.0,32.0,13.5,70.0,,2019,2016,2018
303436000,70.0,15.0,4.3,79.0,,889,2025,2025
303530000,229.0,34.0,10.3,70.0,,598,2025,2025
303582000,189.0,32.0,8.4,70.0,,473,2024,2024
303583000,255.0,40.0,12.4,79.0,,277,2025,2025
303584000,207.0,32.0,11.4,70.0,,4715,2015,2025
303656000,287.0,50.0,18.8,80.0,,3238,2017,2023
303657000,299.0,40.0,12.0,70.0,,3568,2016,2025
303672000,260.0,32.0,9.6,73.0,,1804,2020,2021
303829025,240.0,38.0,7.8,70.0,,1575,2023,2024
303829026,239.0,38.0,8.4,70.0,,3250,2024,2025
303829046,240.0,38.0,,70.0,,3576,2024,2024
303845000,289.0,32.0,11.3,70.0,,4892,2018,2025
303849000,191.0,30.0,9.7,80.0,,1970,2025,2025
303890000,289.0,32.0,10.9,70.0,,6681,2018,2023
303923000,193.0,28.0,6.5,70.0,,1438,2024,2024
303924000,192.0,26.0,8.5,70.0,,1140,2019,2019
303932000,212.0,32.0,11.6,70.0,,20159,2017,2022
303940000,212.0,32.0,11.6,70.0,,23893,2015,2025
303956000,263.0,30.0,9.9,70.0,,13515,2015,2019
304010228,151.0,21.0,7.8,70.0,,507,2022,2022
304010569,81.0,14.0,5.4,70.0,,1757,2017,2018
304010618,99.0,16.0,4.9,70.0,,20804,2015,2025
304010697,157.0,24.0,9.3,70.0,,2961,2015,2018
304010708,88.0,13.0,5.52,70.0,,73,2015,2015
304010792,94.0,16.0,5.0,70.0,,11482,2015,2023
304010862,86.0,13.0,5.6,70.0,,953,2015,2015
304010886,99.0,17.0,7.3,70.0,,4806,2018,2025
304010909,101.0,19.0,6.9,70.0,,457,2015,2015
304010914,261.0,32.0,12.5,79.0,,366,2015,2015
304010937,122.0,19.0,6.8,70.0,,5126,2015,2021
304010983,99.0,17.0,7.3,70.0,,3101,2018,2025
304034000,143.0,23.0,9.7,79.0,,940,2016,2017
304043000,144.0,24.0,9.8,70.0,,936,2021,2025
304044000,139.0,23.0,6.7,70.0,,1164,2023,2024
304056000,100.0,16.0,6.3,70.0,,3269,2015,2017
304060000,151.0,22.0,7.6,79.0,,436,2025,2025
304067000,146.0,23.0,6.6,80.0,,526,2024,2025
304071000,147.0,24.0,6.7,70.0,,1018,2023,2025
304080796,151.0,20.0,7.8,70.0,,135,2019,2019
304080808,152.0,21.0,7.8,79.0,,456,2017,2017
304080889,153.0,24.0,7.0,70.0,,1096,2015,2015
304081024,151.0,20.0,7.8,70.0,,770,2019,2020
304083000,166.0,25.0,9.5,70.0,,416,2017,2017
304090000,160.0,24.0,9.8,70.0,,473,2015,2015
304091000,160.0,24.0,9.8,70.0,,330,2015,2017
304094000,147.0,23.0,6.2,70.0,,308,2022,2024
304109000,101.0,18.0,5.0,70.0,,3703,2023,2025
304122000,139.0,22.0,7.3,70.0,,5223,2015,2024
304127000,120.0,20.0,7.7,70.0,,1585,2015,2025
304128000,157.0,23.0,9.3,70.0,,2021,2016,2018
304137000,108.0,18.0,7.8,70.0,,871,2017,2018
304161000,162.0,25.0,6.7,79.0,,442,2025,2025
304164000,143.0,22.0,9.7,70.0,,529,2016,2021
304170000,,,5.3,70.0,,467,2016,2016
304182000,129.0,16.0,7.4,70.0,,2326,2015,2019
304183000,129.0,15.0,7.4,70.0,,1088,2019,2020
304188000,107.0,18.0,7.8,70.0,,3255,2015,2018
304189000,101.0,19.0,6.8,71.0,,865,2015,2015
304193000,86.0,13.0,5.54,70.0,,966,2015,2016
304200000,119.0,20.0,6.6,70.0,,1347,2022,2025
304204000,129.0,15.0,7.4,70.0,,1116,2015,2019
304221000,86.0,12.0,5.5,70.0,,3700,2016,2018
304243000,132.0,20.0,7.2,71.0,,1066,2016,2017
304251000,119.0,20.0,7.7,70.0,,1691,2015,2021
304262000,130.0,19.0,8.8,79.0,,376,2021,2022
304288000,120.0,20.0,7.7,79.0,,2408,2015,2021
304304000,99.0,18.0,6.6,70.0,,4992,2015,2025
304330000,144.0,24.0,7.0,79.0,,3122,2022,2025
304332000,144.0,22.0,7.6,79.0,,2451,2021,2025
304342000,147.0,23.0,7.6,71.0,,293,2023,2023
304343000,147.0,23.0,7.1,70.0,,1380,2024,2025
304364000,142.0,18.0,7.3,70.0,,281,2022,2022
304366000,142.0,18.0,7.3,70.0,,713,2016,2019
304367000,109.0,17.0,5.8,70.0,,131,2024,2024
304373000,123.0,21.0,6.3,70.0,,821,2021,2022
304413000,118.0,17.0,7.8,80.0,,436,2022,2022
304414000,114.0,16.0,7.61,80.0,,1038,2015,2015
304416000,133.0,19.0,5.5,70.0,,532,2024,2024
304439000,161.0,25.0,6.1,70.0,,645,2023,2024
304460000,123.0,20.0,6.9,70.0,,285,2020,2020
304479000,119.0,20.0,7.6,70.0,,736,2021,2022
304485000,120.0,21.0,6.6,79.0,,1379,2015,2015
304486000,120.0,21.0,6.59,70.0,,80,2015,2015
304489000,190.0,24.0,5.9,70.0,,63,2023,2023
304509000,126.0,23.0,6.8,70.0,,90,2025,2025
304512000,119.0,20.0,7.6,70.0,,960,2023,2024
304513000,134.0,23.0,6.6,70.0,,406,2024,2024
304521000,190.0,24.0,10.2,70.0,,1402,2021,2025
304543000,119.0,20.0,7.7,70.0,,449,2019,2019
304571000,138.0,22.0,6.2,79.0,,149,2025,2025
304579000,86.0,12.0,4.4,70.0,,476,2017,2017
304580000,130.0,20.0,6.0,70.0,,560,2022,2022
304581000,129.0,17.0,5.6,70.0,,470,2025,2025
304586000,113.0,18.0,6.3,70.0,,316,2017,2017
304587000,145.0,18.0,7.4,70.0,,1662,2023,2025
304598000,99.0,18.0,6.6,70.0,,13848,2019,2025
304599000,150.0,23.0,7.6,70.0,,442,2024,2024
304603000,185.0,23.0,9.8,70.0,,376,2022,2022
304617000,137.0,22.0,6.8,70.0,,790,2015,2021
304664000,92.0,16.0,3.8,79.0,,25,2025,2025
304670000,90.0,14.0,3.1,70.0,,1485,2019,2020
304679000,138.0,21.0,8.0,70.0,,2550,2017,2023
304702000,146.0,18.0,7.3,70.0,,463,2016,2016
304724000,138.0,21.0,8.0,70.0,,515,2017,2017
304726000,138.0,21.0,8.0,70.0,,229,2023,2023
304736000,146.0,18.0,7.36,79.0,,447,2015,2015
304743000,125.0,16.0,7.2,70.0,,387,2016,2016
304746000,138.0,21.0,8.0,70.0,,1756,2016,2024
304789000,138.0,21.0,8.0,70.0,,477,2019,2019
304807000,66.0,11.0,4.3,79.0,,4600,2016,2018
304811000,156.0,24.0,9.5,70.0,,236,2015,2015
304813000,161.0,25.0,9.5,70.0,,228,2022,2022
304814000,161.0,25.0,9.5,71.0,,174,2015,2015
304822000,53.0,11.0,2.0,70.0,,2288,2024,2025
304839000,58.0,12.0,2.1,77.0,,1965,2024,2025
304840000,53.0,11.0,1.8,70.0,,2086,2024,2025
304844000,138.0,11.0,2.4,70.0,,1822,2024,2025
304872000,200.0,32.0,11.3,70.0,,1275,2016,2018
304880000,78.0,16.0,2.7,70.0,,2251,2024,2025
304881000,119.0,20.0,7.6,70.0,,1379,2023,2024
304883000,147.0,23.0,6.5,70.0,,946,2023,2024
304888000,147.0,23.0,7.5,70.0,,1233,2022,2024
304906000,140.0,22.0,7.4,70.0,,8622,2015,2025
304915000,,,4.1,70.0,,472,2015,2015
304921000,81.0,13.0,3.1,70.0,,2513,2024,2025
304928000,90.0,16.0,3.5,70.0,,1761,2024,2025
304939000,231.0,33.0,8.0,79.0,,1072,2020,2021
304941000,139.0,22.0,7.4,79.0,,11300,2015,2025
304954000,119.0,20.0,7.7,70.0,,1420,2018,2025
304955000,103.0,16.0,7.01,87.0,,433,2015,2015
304968000,143.0,22.0,9.7,70.0,,514,2017,2022
304972000,140.0,24.0,6.7,79.0,,3698,2021,2025
304994000,119.0,20.0,7.7,70.0,,1498,2021,2025
305007000,139.0,22.0,8.8,70.0,,4127,2018,2021
305024000,145.0,18.0,7.3,70.0,,2075,2020,2025
305034000,119.0,20.0,5.6,70.0,,529,2019,2025
305043000,138.0,21.0,8.0,70.0,,670,2017,2019
305047000,165.0,26.0,9.0,70.0,,2334,2016,2017
305048000,119.0,20.0,7.6,70.0,,1551,2016,2023
305055000,139.0,22.0,7.4,70.0,,6091,2015,2020
305056000,138.0,21.0,8.0,70.0,,892,2018,2025
305057000,138.0,21.0,8.0,70.0,,372,2018,2020
305063000,138.0,21.0,8.0,70.0,,1053,2021,2023
305065000,138.0,21.0,8.0,70.0,,1730,2017,2025
305066000,138.0,21.0,7.5,70.0,,1458,2019,2025
305075000,222.0,32.0,12.0,70.0,,479,2022,2022
305078000,138.0,21.0,8.0,70.0,,267,2021,2021
305079000,147.0,23.0,8.5,70.0,,3013,2022,2025
305081000,147.0,23.0,7.4,70.0,,464,2024,2024
305086000,147.0,23.0,6.3,70.0,,660,2024,2024
305089000,101.0,15.0,4.3,70.0,,504,2025,2025
305090000,209.0,30.0,11.6,70.0,,334,2017,2019
305093000,132.0,15.0,8.2,70.0,,506,2016,2025
305097000,142.0,19.0,8.1,70.0,,1117,2019,2023
305098000,143.0,23.0,6.4,70.0,,98,2015,2015
305101000,139.0,22.0,8.8,70.0,,1591,2018,2020
305102000,100.0,17.0,4.3,70.0,,1916,2024,2025
305113000,146.0,18.0,5.7,70.0,,443,2025,2025
305121000,143.0,23.0,9.7,70.0,,1203,2015,2023
305134000,139.0,22.0,8.8,70.0,,5379,2018,2025
305140000,139.0,22.0,7.4,70.0,,10096,2015,2025
305141000,140.0,22.0,6.8,70.0,,465,2023,2023
305146000,120.0,20.0,6.4,70.0,,2031,2021,2024
305152000,119.0,20.0,7.7,70.0,,420,2023,2023
305157000,120.0,20.0,6.0,79.0,,2106,2020,2024
305159000,138.0,21.0,8.0,70.0,,3494,2016,2025
305160000,138.0,21.0,7.5,70.0,,569,2015,2025
305161000,138.0,21.0,7.2,70.0,,2375,2016,2025
305164000,159.0,24.0,9.1,70.0,,718,2021,2025
305167000,138.0,21.0,8.1,70.0,,170,2018,2018
305172000,138.0,21.0,8.0,70.0,,1650,2016,2025
305176000,100.0,15.0,5.6,70.0,,1566,2020,2025
305177000,138.0,21.0,8.0,71.0,,608,2015,2020
305178000,120.0,19.0,8.8,80.0,,1599,2017,2024
305179000,99.0,17.0,7.3,70.0,,4706,2017,2025
305187000,119.0,20.0,7.7,70.0,,1297,2019,2024
305200000,169.0,25.0,6.6,70.0,,462,2021,2021
305204000,138.0,21.0,8.0,70.0,,1379,2019,2021
305205000,138.0,21.0,8.0,70.0,,3157,2020,2025
305206000,116.0,18.0,7.0,70.0,,523,2017,2017
305208000,166.0,25.0,9.5,70.0,,582,2015,2016
305209000,115.0,17.0,5.7,70.0,,1602,2016,2017
305222000,138.0,21.0,6.3,79.0,,493,2025,2025
305223000,138.0,21.0,8.0,70.0,,943,2018,2018
305230000,211.0,32.0,12.0,71.0,,879,2015,2016
305236000,139.0,22.0,7.3,70.0,,2462,2023,2025
305238000,115.0,16.0,5.7,70.0,,1103,2017,2019
305240000,122.0,18.0,7.2,70.0,,2796,2018,2021
305245000,138.0,21.0,7.5,70.0,,120,2018,2018
305246000,138.0,21.0,6.1,71.0,,2184,2020,2024
305247000,148.0,24.0,8.2,70.0,,230,2015,2015
305255000,143.0,22.0,9.7,79.0,,1444,2017,2018
305256000,142.0,21.0,9.7,70.0,,1995,2016,2021
305258000,166.0,25.0,7.5,71.0,,3879,2021,2025
305271000,261.0,32.0,12.8,79.0,,1173,2016,2017
305276000,162.0,26.0,7.2,70.0,,1387,2022,2024
305277000,230.0,32.0,8.7,79.0,,489,2021,2021
305289000,100.0,17.0,6.0,70.0,,22230,2015,2025
305291000,139.0,22.0,7.4,70.0,,2886,2022,2025
305293000,161.0,25.0,9.9,70.0,,276,2021,2022
305300000,153.0,24.0,9.73,70.0,,479,2015,2015
305302000,120.0,20.0,7.6,79.0,,632,2016,2024
305305000,145.0,18.0,7.4,70.0,,2480,2018,2025
305315000,145.0,18.0,7.5,70.0,,965,2018,2025
305343000,138.0,20.0,7.7,70.0,,1083,2020,2023
305345000,221.0,29.0,11.4,70.0,,1995,2018,2020
305346000,222.0,30.0,11.4,79.0,,1071,2015,2016
305347000,221.0,29.0,11.4,70.0,,723,2016,2022
305350000,139.0,22.0,7.4,70.0,,11767,2015,2025
305361000,143.0,23.0,9.7,70.0,,2180,2016,2022
305367000,132.0,15.0,7.8,70.0,,327,2021,2021
305369000,143.0,22.0,6.5,89.0,,671,2024,2025
305372000,122.0,18.0,7.2,70.0,,1935,2015,2019
305375000,145.0,18.0,7.4,70.0,,3989,2015,2024
305377000,146.0,22.0,6.1,89.0,,1823,2023,2024
305380000,140.0,22.0,6.4,70.0,,405,2022,2025
305385000,261.0,32.0,12.8,71.0,,463,2015,2017
305387000,261.0,32.0,12.6,70.0,,461,2018,2018
305392000,139.0,20.0,7.7,70.0,,1810,2016,2023
305394000,139.0,16.0,7.7,70.0,,3318,2015,2019
305395000,139.0,16.0,7.7,70.0,,1817,2015,2018
305404000,143.0,23.0,9.7,70.0,,1978,2015,2022
305415000,211.0,29.0,11.4,70.0,,488,2020,2021
305441000,190.0,32.0,12.8,79.0,,475,2016,2016
305442000,189.0,32.0,2.0,70.0,,2165,2024,2025
305458000,138.0,21.0,8.5,70.0,,1436,2015,2019
305460000,138.0,21.0,7.5,70.0,,2109,2017,2023
305461000,138.0,21.0,8.0,70.0,,1825,2018,2022
305462000,138.0,21.0,7.5,70.0,,905,2019,2022
305463000,138.0,21.0,7.5,70.0,,475,2018,2018
305465000,142.0,18.0,7.3,70.0,,434,2018,2018
305466000,143.0,22.0,9.7,70.0,,1091,2016,2021
305469000,138.0,21.0,8.0,70.0,,335,2018,2019
305470000,138.0,21.0,8.0,70.0,,1018,2019,2025
305472000,139.0,20.0,7.7,70.0,,1220,2018,2025
305480000,132.0,23.0,7.8,70.0,,72,2021,2021
305512000,128.0,16.0,7.0,70.0,,473,2018,2018
305529000,143.0,23.0,9.7,70.0,,572,2017,2018
305533000,133.0,23.0,6.5,70.0,,471,2024,2024
305535000,190.0,23.0,8.2,70.0,,333,2025,2025
305536000,139.0,20.0,7.7,70.0,,3102,2019,2025
305545000,166.0,23.0,9.5,70.0,,70,2015,2015
305546000,132.0,15.0,7.8,70.0,,1820,2015,2022
305551000,166.0,23.0,9.5,79.0,,1949,2015,2019
305560000,145.0,18.0,5.2,70.0,,606,2023,2025
305561000,145.0,18.0,7.4,70.0,,1846,2015,2025
305590000,143.0,23.0,9.7,70.0,,3024,2015,2025
305598000,146.0,18.0,7.4,70.0,,739,2017,2025
305615000,130.0,16.0,7.0,70.0,,44,2019,2019
305616000,108.0,16.0,10.7,70.0,,402,2024,2024
305617000,229.0,32.0,11.3,89.0,,110,2025,2025
305623000,127.0,20.0,7.7,70.0,,460,2023,2023
305625000,161.0,27.0,6.8,70.0,,291,2025,2025
305642000,115.0,17.0,5.7,70.0,,906,2015,2016
305647000,129.0,19.0,8.7,70.0,,1979,2016,2020
305649000,129.0,20.0,7.4,70.0,,557,2019,2019
305653000,210.0,30.0,8.9,70.0,,124,2025,2025
305655000,161.0,25.0,9.5,70.0,,957,2018,2018
305656000,145.0,18.0,7.4,70.0,,1615,2018,2024
305657000,161.0,27.0,6.4,79.0,,1409,2022,2025
305663000,153.0,23.0,8.5,70.0,,1340,2019,2024
305675000,107.0,18.0,8.0,70.0,,231,2015,2015
305679000,137.0,21.0,8.0,70.0,,471,2022,2022
305682000,143.0,23.0,7.1,70.0,,1415,2020,2024
305684000,229.0,32.0,10.3,79.0,,665,2025,2025
305688000,130.0,16.0,7.0,70.0,,238,2020,2020
305691000,134.0,23.0,7.8,70.0,,490,2020,2020
305700000,145.0,18.0,7.4,70.0,,2604,2015,2022
305716000,147.0,23.0,7.1,70.0,,462,2025,2025
305717000,153.0,23.0,9.1,79.0,,891,2017,2024
305718000,153.0,23.0,9.1,70.0,,2048,2019,2024
305719000,153.0,23.0,9.1,70.0,,694,2017,2021
305720000,161.0,25.0,9.5,70.0,,386,2018,2018
305723000,140.0,22.0,5.9,71.0,,5676,2021,2025
305737000,138.0,21.0,8.0,70.0,,44,2023,2023
305738000,138.0,21.0,6.4,70.0,,202,2024,2024
305740000,153.0,23.0,8.5,70.0,,430,2023,2023
305749000,132.0,15.0,7.8,70.0,,203,2018,2018
305750000,101.0,19.0,6.65,70.0,,1681,2015,2016
305752000,166.0,27.0,10.1,70.0,,849,2016,2016
305755000,143.0,22.0,9.7,70.0,,440,2018,2018
305756000,143.0,22.0,9.7,70.0,,1016,2022,2023
305757000,125.0,22.0,7.6,70.0,,1677,2020,2024
305767000,129.0,17.0,7.2,70.0,,1363,2019,2022
305776000,153.0,23.0,8.5,70.0,,1929,2018,2021
305781000,89.0,15.0,5.3,70.0,,1385,2015,2022
305789000,142.0,23.0,7.2,70.0,,837,2015,2016
305790000,118.0,15.0,5.2,79.0,,2197,2023,2024
305792000,125.0,22.0,7.6,70.0,,730,2022,2023
305795000,168.0,25.0,9.5,70.0,,927,2018,2018
305796000,162.0,25.0,6.1,79.0,,403,2021,2021
305799000,146.0,18.0,7.35,70.0,,1564,2015,2025
305800000,146.0,18.0,7.35,70.0,,85,2015,2015
305801000,188.0,30.0,11.5,70.0,,604,2015,2015
305802000,188.0,30.0,11.5,79.0,,151,2015,2015
305803000,147.0,23.0,8.3,70.0,,781,2022,2024
305806000,147.0,23.0,6.6,70.0,,585,2023,2024
305812000,101.0,17.0,4.3,79.0,,1584,2025,2025
305822000,132.0,15.0,7.8,70.0,,354,2022,2022
305823000,125.0,22.0,7.6,70.0,,371,2022,2022
305825000,132.0,15.0,7.8,70.0,,1833,2019,2021
305853000,153.0,23.0,9.1,70.0,,1422,2020,2020
305854000,153.0,23.0,9.1,70.0,,1342,2015,2018
305855000,153.0,23.0,6.9,70.0,,749,2018,2025
305856000,153.0,23.0,9.1,70.0,,2242,2016,2023
305857000,153.0,23.0,9.1,70.0,,1618,2016,2021
305859000,153.0,23.0,9.1,70.0,,2120,2017,2024
305864000,125.0,22.0,7.6,70.0,,374,2019,2025
305865000,125.0,22.0,7.6,70.0,,569,2023,2024
305866000,129.0,17.0,7.3,70.0,,465,2019,2019
305885000,125.0,22.0,7.6,70.0,,1282,2021,2024
305905000,223.0,32.0,12.02,71.0,,949,2015,2015
305908000,153.0,,,70.0,,1490,2020,2023
305931000,145.0,18.0,7.7,70.0,,2135,2015,2019
305939000,138.0,21.0,8.0,70.0,,438,2019,2019
305955000,138.0,21.0,6.3,79.0,,2125,2023,2025
305961000,118.0,16.0,7.2,70.0,,2451,2018,2023
305973000,102.0,16.0,6.5,70.0,,356,2021,2021
305995000,108.0,18.0,4.7,70.0,,812,2025,2025
305996000,108.0,18.0,6.0,70.0,,964,2025,2025
305997000,108.0,16.0,6.5,70.0,,1450,2019,2024
306109000,183.0,32.0,9.49,70.0,,448,2015,2015
306122000,181.0,32.0,10.0,70.0,,464,2016,2016
306124000,115.0,18.0,5.9,70.0,,236,2022,2022
306125000,115.0,18.0,5.9,70.0,,217,2022,2022
306132000,218.0,44.0,9.8,70.0,,320,2021,2021
306136000,134.0,16.0,5.8,70.0,,1313,2022,2022
