candidate_start_h,candidate_end_h,candidate_duration_h,n_context_pings,n_candidate_pings,max_gap_min,median_sog,p90_sog,stationary_share,moving_share,path_km,net_displacement_km,heading_variation,berth_fraction,anchor_fraction,blind_id
24.0,24.1525,0.1525,1072,6,3.85,0.3,0.4,1.0,0.0,0.1,0.069,0.552,0.0,1.0,BLIND_049
24.0,29.1519,5.1519,753,103,34.333,0.1,0.2,1.0,0.0,0.872,0.288,0.686,0.0,1.0,BLIND_050
24.0,24.7164,0.7164,325,38,9.0,5.0,7.9,0.0,0.553,6.093,5.909,0.058,1.0,0.0,BLIND_051
24.0,24.2675,0.2675,509,15,30.0,7.4,7.98,0.0,1.0,3.562,3.454,0.05,0.6,0.4,BLIND_052
24.0,24.1,0.1,534,3,9.0,0.1,0.26,1.0,0.0,0.013,0.002,0.542,1.0,0.0,BLIND_053
24.0,24.3225,0.3225,142,13,912.317,0.0,0.0,1.0,0.0,0.032,0.001,0.106,1.0,0.0,BLIND_054
24.0,24.0,0.0,670,1,32.967,0.1,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_055
24.0,24.0667,0.0667,823,4,719.183,0.7,0.87,0.0,0.0,0.113,0.04,0.764,1.0,0.0,BLIND_056
24.0,24.0,0.0,323,1,12.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_057
24.0,24.7042,0.7042,516,39,14.967,3.2,5.84,0.0,0.564,4.363,2.584,0.495,1.0,0.0,BLIND_058
24.0,24.0,0.0,892,1,51.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_059
24.0,24.0383,0.0383,493,3,344.833,0.6,0.68,0.0,0.0,0.028,0.028,0.0,1.0,0.0,BLIND_060
24.0,44.9808,20.9808,838,404,59.367,0.1,0.2,1.0,0.0,2.682,0.281,0.887,0.0,1.0,BLIND_061
24.0,24.0,0.0,111,1,6.05,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_062
24.0,25.6419,1.6419,942,86,12.05,4.75,7.5,0.0,0.616,13.18,5.415,0.681,0.871,0.129,BLIND_063
24.0,24.2,0.2,584,5,15.1,0.6,0.7,0.0,0.0,0.249,0.247,0.049,0.0,1.0,BLIND_064
24.0,24.0944,0.0944,2447,6,37.667,1.45,1.95,0.0,0.0,0.238,0.098,0.854,1.0,0.0,BLIND_065
24.0,24.0194,0.0194,570,2,6.0,0.35,0.39,1.0,0.0,0.012,0.012,0.0,0.0,1.0,BLIND_066
24.0,24.0,0.0,157,1,1.7,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_067
24.0,24.0,0.0,893,1,9.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_068
24.0,24.0,0.0,505,1,123.017,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_069
24.0,74.6228,50.6228,1039,933,96.0,0.0,0.1,1.0,0.0,2.481,0.045,0.583,1.0,0.0,BLIND_070
24.0,24.0,0.0,585,1,9.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_071
24.0,24.0,0.0,922,1,12.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_072
24.0,24.8333,0.8333,870,48,9.067,3.3,5.7,0.0,0.771,5.775,5.147,0.121,0.723,0.277,BLIND_073
24.0,26.6022,2.6022,275,49,1067.133,0.0,0.0,1.0,0.0,0.076,0.005,0.607,1.0,0.0,BLIND_074
24.0,24.0,0.0,837,1,12.033,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_075
24.0,24.0,0.0,387,1,331.35,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_076
24.0,24.45,0.45,111,8,6.05,0.3,0.4,1.0,0.0,0.072,0.032,0.44,0.0,1.0,BLIND_077
24.0,24.0614,0.0614,503,5,8.967,0.6,0.8,0.0,0.0,0.084,0.084,0.007,0.0,1.0,BLIND_078
24.0,24.0,0.0,931,1,9.017,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_079
24.0,24.0,0.0,722,1,60.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_080
24.0,24.0,0.0,2490,1,5.483,0.4,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_081
24.0,24.0169,0.0169,626,2,608.0,0.5,0.5,0.0,0.0,0.012,0.012,0.0,1.0,0.0,BLIND_082
24.0,24.0,0.0,500,1,6.1,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_083
24.0,24.0192,0.0192,494,2,9.017,0.4,0.4,1.0,0.0,0.015,0.015,0.007,1.0,0.0,BLIND_084
24.0,24.0,0.0,895,1,22.283,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_085
24.0,24.2494,0.2494,111,6,6.05,0.3,0.35,1.0,0.0,0.02,0.006,0.041,0.0,1.0,BLIND_086
24.0,24.0,0.0,711,1,243.05,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_087
24.0,24.0,0.0,165,1,900.917,0.4,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_088
24.0,24.0,0.0,500,1,7.667,0.4,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_089
24.0,24.0,0.0,2195,1,53.133,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_090
24.0,24.0219,0.0219,569,2,9.0,0.35,0.39,1.0,0.0,0.016,0.016,0.214,1.0,0.0,BLIND_091
24.0,24.0414,0.0414,2195,3,53.133,0.7,0.7,0.0,0.0,0.016,0.016,0.391,1.0,0.0,BLIND_092
24.0,24.0,0.0,2237,1,9.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_093
24.0,24.0,0.0,705,1,9.017,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_094
24.0,24.0197,0.0197,644,2,625.683,0.7,0.78,0.0,0.0,0.014,0.014,0.001,1.0,0.0,BLIND_095
24.0,24.0194,0.0194,1853,2,53.133,0.6,0.68,0.0,0.0,0.016,0.016,0.434,1.0,0.0,BLIND_096
