MMSI,Port,YearMonth,anchor_hours,berth_hours,manoeuvre_hours,transit_hours,unknown_hoteling_hours,total_mode_hours
538006835,Houston,2023-08,0.0,0.0,0.0,3.544722222222222,0.0,3.544722222222222
538006841,Houston,2023-08,0.0,0.0,0.0,3.6911111111111112,0.0,3.6911111111111112
538006975,Houston,2023-08,0.0,79.24166666666666,0.295,1.1080555555555556,0.0,80.64472222222221
538006977,Houston,2023-08,0.0,81.67388888888888,0.4144444444444444,1.1183333333333334,0.0,83.20666666666666
538006978,Houston,2023-08,0.0,90.0363888888889,0.3297222222222222,1.1777777777777778,0.0,91.54388888888889
538007038,Houston,2023-08,0.0,0.0,0.0,3.5716666666666668,0.0,3.5716666666666668
538007042,Houston,2023-08,0.0,0.0,0.0,3.585833333333333,0.0,3.585833333333333
538007043,Houston,2023-08,0.0,0.0,0.0,3.55,0.0,3.55
538007044,Houston,2023-08,0.0,0.0,0.0,3.5669444444444443,0.0,3.5669444444444443
538007349,Houston,2023-08,0.0,0.0,0.0,3.394166666666667,0.0,3.394166666666667
538007960,Houston,2023-08,0.0,0.0,0.0,3.8338888888888887,0.0,3.8338888888888887
538008165,Houston,2023-08,0.0,0.0,0.0,9.15,0.0,9.15
538008221,Houston,2023-08,0.0,0.0,0.0,3.5866666666666664,0.0,3.5866666666666664
538008696,Houston,2023-08,0.0,0.0,0.1113888888888888,3.728055555555556,0.2324999999999999,4.071944444444445
538008703,Houston,2023-08,0.0,0.0,0.0,3.608611111111111,0.0,3.608611111111111
538008707,Houston,2023-08,0.0,0.0,0.0,19.827222222222225,0.0,19.827222222222225
538008785,Houston,2023-08,0.0,0.0,0.0,3.811388888888889,0.0,3.811388888888889
538008807,Houston,2023-08,0.0,0.0,0.0,3.735833333333333,0.0,3.735833333333333
538008831,Houston,2023-08,0.0,31.424722222222226,0.3547222222222222,1.3833333333333333,0.0,33.16277777777778
538008893,Houston,2023-08,0.0,0.0,2.058333333333333,1.8219444444444444,0.0,3.8802777777777777
538009014,Houston,2023-08,0.0,0.0,0.0,3.833333333333333,0.0,3.833333333333333
538009037,Houston,2023-08,0.0,0.0,0.0,3.691944444444444,0.0,3.691944444444444
538009198,Houston,2023-08,0.0,0.0,0.0,9.803055555555556,0.0,9.803055555555556
