port,year,pollutant,extracted_category_sum,published_total,difference,rounding_tolerance,pass,reported_unit,page,source_file,source_sha256
POLB,2019,HC,310.000000,309.000000,1.000000,3.090000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,CO2e,806867.000000,806866.000000,1.000000,8068.660000,True,metric_tonnes,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLA,2020,PM10,117.000000,117.000000,0.000000,1.170000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,PM2.5,108.000000,108.000000,0.000000,1.080000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,DPM,97.000000,97.000000,0.000000,1.000000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,NOx,5815.000000,5814.000000,1.000000,58.140000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,SOx,104.000000,104.000000,0.000000,1.040000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,CO,1928.000000,1928.000000,0.000000,19.280000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,HC,363.000000,363.000000,0.000000,3.630000,True,short_tons,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLA,2020,CO2e,903249.000000,903250.000000,-1.000000,9032.500000,True,metric_tonnes,80,pola_2020_air_emissions_inventory.pdf,96ee5b101216e212492586ae439d43172eedacc18e09545ab1b33781f3cb49e3
POLB,2020,PM10,123.000000,123.000000,0.000000,1.230000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,PM2.5,114.000000,113.000000,1.000000,1.130000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,DPM,89.000000,89.000000,0.000000,1.000000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
POLB,2020,NOx,5920.000000,5920.000000,0.000000,59.200000,True,short_tons,57,polb_2020_air_emissions_inventory.pdf,7f4c547c8579fb03e95bacde9d92aecf0bf5bfd821f3a1ac4eab9de7154fb5ba
