port,year,source_category,pollutant,reported_quantity,reported_unit,page,source_file,source_sha256
POLA,2018,locomotives,HC,51.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,heavy_duty_vehicles,HC,34.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,ocean_going_vessels,CO2e,205486.000000,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,harbor_craft,CO2e,66092.000000,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,cargo_handling_equipment,CO2e,188894.000000,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,locomotives,CO2e,76073.000000,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,heavy_duty_vehicles,CO2e,397027.000000,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLB,2018,ocean_going_vessels,PM10,85.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,PM10,23.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,PM10,4.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,PM10,23.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,PM10,7.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,PM2.5,80.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,PM2.5,21.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,PM2.5,4.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,PM2.5,22.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,PM2.5,7.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,DPM,63.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,DPM,23.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,DPM,3.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,DPM,23.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,DPM,7.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,NOx,4169.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,NOx,682.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,NOx,327.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,NOx,619.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,NOx,1151.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,SOx,213.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,SOx,1.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,SOx,1.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,SOx,1.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,SOx,3.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,CO,341.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,CO,483.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,CO,632.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,CO,149.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,CO,156.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,HC,151.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,HC,73.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,HC,34.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,HC,36.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,HC,27.000000,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,ocean_going_vessels,CO2e,297800.000000,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,harbor_craft,CO2e,55364.000000,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,cargo_handling_equipment,CO2e,121766.000000,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,locomotives,CO2e,52382.000000,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,heavy_duty_vehicles,CO2e,308378.000000,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLA,2019,ocean_going_vessels,PM10,54.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,PM10,26.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,PM10,7.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,PM10,32.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,PM10,9.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,PM2.5,50.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,PM2.5,24.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,PM2.5,6.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,PM2.5,29.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,PM2.5,9.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,DPM,41.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,DPM,26.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,DPM,5.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,DPM,32.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,DPM,9.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,NOx,2743.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,NOx,755.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,NOx,410.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,NOx,882.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,NOx,1382.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,SOx,102.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,SOx,1.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,SOx,2.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,SOx,1.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,SOx,4.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,CO,243.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,CO,543.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,CO,805.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,CO,205.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,CO,207.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,HC,115.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,HC,83.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,HC,83.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,HC,49.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,HC,33.000000,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,ocean_going_vessels,CO2e,192247.000000,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,harbor_craft,CO2e,60884.000000,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,cargo_handling_equipment,CO2e,177264.000000,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,locomotives,CO2e,71364.000000,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,heavy_duty_vehicles,CO2e,378015.000000,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLB,2019,ocean_going_vessels,PM10,83.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,harbor_craft,PM10,22.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,cargo_handling_equipment,PM10,4.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,locomotives,PM10,21.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,heavy_duty_vehicles,PM10,7.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,ocean_going_vessels,PM2.5,78.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,harbor_craft,PM2.5,20.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,cargo_handling_equipment,PM2.5,4.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,locomotives,PM2.5,20.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,heavy_duty_vehicles,PM2.5,7.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,ocean_going_vessels,DPM,62.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,harbor_craft,DPM,22.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,cargo_handling_equipment,DPM,3.000000,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
