site_id,pre_hours,post_hours,pre_coverage,post_coverage,minimum_month_hours,eligible,latitude,longitude,distance_km,poc
06-037-0113,11987,5932,0.9909887566137566,0.9844009293063392,299,True,34.05111,-118.45636,37.667626132588026,1
06-037-1103,11938,5850,0.9869378306878307,0.9707932293395287,299,True,34.06659,-118.22688,34.02214815340078,3
06-037-1302,11658,5952,0.9637896825396826,0.9877198805177564,299,True,33.901389,-118.205,16.05281982625987,1
06-037-1602,11843,5732,0.9790839947089947,0.9512114171921673,139,True,34.01029,-118.0685,32.179511310208376,1
06-037-2005,11997,5902,0.9918154761904762,0.9794225024892134,299,True,34.1326,-118.1272,42.73716147993752,1
06-037-4008,11982,5991,0.9905753968253969,0.9941918353800199,299,True,33.859662,-118.200707,11.726725995748202,1
06-037-4009,11843,5873,0.9790839947089947,0.9746100232326584,297,True,33.793713,-118.171019,7.792735133680875,1
06-037-4010,11930,5973,0.986276455026455,0.9912047792897445,299,True,34.181977,-118.363036,48.045259826791394,1
