port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,operational_rule
corpus_christi_tx,"Corpus Christi, Tx",Gulf,5312,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
crisfield_md,"Crisfield, Md",Atlantic,1304,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
destrehan_la,"Destrehan, La",Gulf,2009,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
eastport_me,"Eastport, Me",Atlantic,0103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
el_segundo_ca,"El Segundo, Ca",Pacific,2711,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
eureka_ca,"Eureka, Ca",Pacific,2802,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
everett_wa,"Everett, Wa",Pacific,3006,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
fall_river_ma,"Fall River, Ma",Atlantic,0407,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
fernandina_fl,"Fernandina, Fl",Atlantic,1805,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
fort_pierce_fl,"Fort Pierce, Fl",Atlantic,5205,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
freeport_tx,"Freeport, Tx",Gulf,5311,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
galveston_tx,"Galveston, Tx",Gulf,5310,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
georgetown_sc,"Georgetown, Sc",Atlantic,1602,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
gloucester_ma,"Gloucester, Ma",Atlantic,0404,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
gramercy_la,"Gramercy, La",Gulf,2010,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
greenville_ms,"Greenville, Ms",Gulf,2011,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
gulfport_ms,"Gulfport, Ms",Gulf,1902,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
hartford_ct,"Hartford, Ct",Atlantic,0411,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
hopewell_va,"Hopewell, Va",Atlantic,1408,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
houston_tx,"Houston, Tx",Gulf,5301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
jacksonville_fl,"Jacksonville, Fl",Atlantic,1803,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
kalama_wa,"Kalama, Wa",Pacific,2909,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
key_west_fl,"Key West, Fl",Gulf,5202,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
lake_charles_la,"Lake Charles, La",Gulf,2017,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
longview_wa,"Longview, Wa",Pacific,2905,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
martinez_ca,"Martinez, Ca",Pacific,2820,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
mellville_ri,"Mellville, Ri",Atlantic,0503,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
miami_fl,"Miami, Fl",Atlantic,5201,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
mobile_al,"Mobile, Al",Gulf,1901,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
monterey_ca,"Monterey, Ca",Pacific,2805,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
morgan_city_la,"Morgan City, La",Gulf,2001,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
morro_bay_ca,"Morro Bay, Ca",Pacific,2719,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
new_bedford_ma,"New Bedford, Ma",Atlantic,0405,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
new_haven_ct,"New Haven, Ct",Atlantic,0412,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
new_london_ct,"New London, Ct",Atlantic,0413,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
new_orleans_la,"New Orleans, La",Gulf,2002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
new_york_new_jersey,Port of New York and New Jersey,Atlantic,1001;1003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,official_shared_port_authority
newport_or,"Newport, Or",Pacific,2902,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
newport_ri,"Newport, Ri",Atlantic,0501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
norfolk_newport_news_va,"Norfolk-Newport News, Va",Atlantic,1401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
oakland_ca,"Oakland, Ca",Pacific,2811,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
olympia_wa,"Olympia, Wa",Pacific,3026,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
orange_tx,"Orange, Tx",Gulf,2103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
panama_city_fl,"Panama City, Fl",Gulf,1818,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
pascagoula_ms,"Pascagoula, Ms",Gulf,1903,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
