MMSI,Port,YearMonth,anchor_hours,berth_hours,manoeuvre_hours,transit_hours,unknown_hoteling_hours,total_mode_hours
1193046,LA_Long_Beach,2009-03,3.0,40.21666666666667,0.0,0.0,651.4666666666667,694.6833333333334
209309000,LA_Long_Beach,2009-03,0.48333333333333334,23.233333333333334,0.0,0.0,1.1166666666666667,24.833333333333336
210374000,LA_Long_Beach,2009-03,38.983333333333334,114.08333333333334,0.0,0.0,1.2166666666666666,154.28333333333333
210435000,LA_Long_Beach,2009-03,4.366666666666667,0.6833333333333333,0.0,0.0,5.383333333333334,10.433333333333334
210950000,LA_Long_Beach,2009-03,279.75,24.26666666666667,0.0,0.0,3.5,307.51666666666665
211110000,LA_Long_Beach,2009-03,0.16666666666666669,25.900000000000002,0.0,0.0,1.5833333333333333,27.650000000000002
211200350,LA_Long_Beach,2009-03,25.5,0.5666666666666667,0.0,0.0,1.6333333333333333,27.7
211200450,LA_Long_Beach,2009-03,0.05,2.316666666666667,0.0,0.0,0.75,3.1166666666666667
211203370,LA_Long_Beach,2009-03,0.18333333333333332,13.65,0.0,0.0,1.6833333333333333,15.516666666666667
211205790,LA_Long_Beach,2009-03,0.03333333333333333,35.0,0.0,0.0,1.3333333333333333,36.36666666666667
211237370,LA_Long_Beach,2009-03,13.25,33.75,0.0,0.0,1.4666666666666666,48.46666666666667
211239240,LA_Long_Beach,2009-03,0.6,51.13333333333333,0.0,0.0,1.25,52.983333333333334
211259700,LA_Long_Beach,2009-03,0.5833333333333334,37.65,0.0,0.0,1.3666666666666667,39.6
211288580,LA_Long_Beach,2009-03,3.466666666666667,30.366666666666667,0.0,0.0,1.5833333333333333,35.41666666666667
211335760,LA_Long_Beach,2009-03,0.13333333333333333,20.483333333333334,0.0,0.0,1.4166666666666667,22.033333333333335
211829000,LA_Long_Beach,2009-03,0.75,62.083333333333336,0.0,0.0,0.9,63.733333333333334
211830000,LA_Long_Beach,2009-03,0.55,43.93333333333334,0.0,0.0,1.9333333333333333,46.416666666666664
211831000,LA_Long_Beach,2009-03,0.8166666666666667,74.38333333333334,0.0,0.0,0.9166666666666666,76.11666666666667
215155000,LA_Long_Beach,2009-03,2.45,0.0,0.0,0.0,0.3333333333333333,2.7833333333333337
215724000,LA_Long_Beach,2009-03,0.3,13.600000000000001,0.0,0.0,1.3666666666666667,15.26666666666667
218060000,LA_Long_Beach,2009-03,0.6166666666666667,48.31666666666667,0.0,0.0,1.5333333333333332,50.46666666666667
218061000,LA_Long_Beach,2009-03,0.5333333333333333,62.18333333333334,0.0,0.0,1.9333333333333333,64.65
218062000,LA_Long_Beach,2009-03,0.5833333333333334,60.2,0.0,0.0,1.6333333333333333,62.41666666666667
218068000,LA_Long_Beach,2009-03,0.6166666666666667,61.25,0.0,0.0,1.3166666666666667,63.18333333333334
