YearMonth,Port,status,seconds
2011-10,NY_NJ,ok,388
2012-02,NY_NJ,ok,287
2012-03,NY_NJ,ok,333
2012-04,NY_NJ,ok,333
2012-05,NY_NJ,ok,384
2012-06,NY_NJ,ok,349
2012-08,NY_NJ,ok,386
2012-09,NY_NJ,ok,413
2012-07,NY_NJ,ok,465
2013-01,NY_NJ,error:download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo fa,2864
2012-10,NY_NJ,error:download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo fa,3027
2012-12,NY_NJ,error:download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo fa,2864
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,20
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,39
2014-09,Savannah,error:download failed after 2 tries: truncated download: 32341 of 130721111 byte,466
2012-10,NY_NJ,error:download failed after 2 tries: truncated download: 147029 of 751641329 byt,466
2012-11,NY_NJ,error:download failed after 2 tries: truncated download: 147029 of 659714502 byt,446
2012-12,NY_NJ,error:download failed after 2 tries: truncated download: 147029 of 637890889 byt,427
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2014-09,Savannah,empty,80
2012-11,NY_NJ,ok,536
2012-12,NY_NJ,ok,536
2012-10,NY_NJ,ok,545
2013-01,NY_NJ,ok,465
2013-02,NY_NJ,ok,370
2013-03,NY_NJ,ok,371
2013-04,NY_NJ,ok,426
2013-05,NY_NJ,ok,617
2013-06,NY_NJ,ok,460
2013-07,NY_NJ,ok,494
2013-09,NY_NJ,ok,532
2013-10,NY_NJ,ok,468
2013-12,NY_NJ,ok,294
2014-01,NY_NJ,ok,308
2014-02,NY_NJ,ok,252
2013-11,NY_NJ,ok,831
2014-03,NY_NJ,ok,188
2014-04,NY_NJ,ok,307
2014-05,NY_NJ,ok,308
2014-06,NY_NJ,ok,278
2014-08,NY_NJ,ok,212
2014-10,NY_NJ,ok,99
2013-08,NY_NJ,ok,1889
2014-09,NY_NJ,ok,243
2014-07,NY_NJ,ok,313
2014-11,NY_NJ,ok,59
2009-02,Seattle,ok,241
2009-01,Seattle,ok,282
2009-03,Seattle,ok,258
2009-06,Seattle,ok,38
2014-12,NY_NJ,ok,418
2009-04,Seattle,ok,280
2009-05,Seattle,ok,295
2009-07,Seattle,ok,316
2009-08,Seattle,ok,342
2009-09,Seattle,ok,321
2009-10,Seattle,ok,402
2009-11,Seattle,ok,369
2009-12,Seattle,ok,361
2010-02,Seattle,ok,199
2010-01,Seattle,ok,336
2010-03,Seattle,ok,245
2010-04,Seattle,ok,276
2010-06,Seattle,ok,342
2010-05,Seattle,ok,342
2010-07,Seattle,ok,361
2010-08,Seattle,ok,368
2010-09,Seattle,ok,540
2010-10,Seattle,ok,540
2010-11,Seattle,ok,416
2010-12,Seattle,ok,296
2011-01,Seattle,ok,272
2011-02,Seattle,ok,357
2011-03,Seattle,ok,357
2011-04,Seattle,ok,385
2011-05,Seattle,ok,319
2011-07,Seattle,ok,395
2011-06,Seattle,ok,424
2011-08,Seattle,ok,484
2011-09,Seattle,ok,523
2011-10,Seattle,ok,428
2011-11,Seattle,ok,465
2011-12,Seattle,ok,563
2012-01,Seattle,ok,384
2012-02,Seattle,ok,369
2012-03,Seattle,ok,470
2012-04,Seattle,ok,413
2012-05,Seattle,ok,491
2012-06,Seattle,ok,504
2012-07,Seattle,ok,461
2012-08,Seattle,ok,485
2012-10,Seattle,ok,529
2012-11,Seattle,ok,456
2012-09,Seattle,ok,708
2012-12,Seattle,ok,467
2013-02,Seattle,ok,397
2013-01,Seattle,ok,448
2013-03,Seattle,ok,415
2013-05,Seattle,ok,463
2013-06,Seattle,ok,537
2013-07,Seattle,ok,567
2013-08,Seattle,ok,492
2013-09,Seattle,ok,490
2013-10,Seattle,ok,504
2013-11,Seattle,ok,381
2013-12,Seattle,ok,379
2013-04,Seattle,ok,1834
2014-01,Seattle,ok,535
2014-02,Seattle,ok,609
2014-03,Seattle,ok,880
2014-04,Seattle,ok,810
2014-05,Seattle,ok,772
2014-06,Seattle,ok,646
2014-07,Seattle,ok,437
2014-11,Seattle,no_cargo,3
2014-09,Seattle,ok,550
2014-08,Seattle,ok,752
2014-10,Seattle,ok,573
2014-12,Seattle,ok,437
2009-01,Houston,ok,920
2009-02,Houston,ok,1005
2009-03,Houston,ok,1004
2009-06,Houston,ok,103
2009-04,Houston,ok,1657
2009-08,Houston,ok,677
2009-05,Houston,ok,1247
2009-07,Houston,ok,1223
2009-09,Houston,ok,774
2010-01,Houston,ok,821
2009-10,Houston,ok,1743
2010-02,Houston,ok,734
2009-12,Houston,ok,1867
2010-03,Houston,ok,967
2010-04,Houston,ok,802
2010-07,Houston,ok,718
2010-06,Houston,ok,1014
2009-11,Houston,error:download failed after 2 tries: truncated download: 704084 of 1844476677 by,3628
2010-09,Houston,ok,1023
2010-08,Houston,ok,1200
2010-12,Houston,error:download failed after 2 tries: truncated download: 2211412 of 2147738497 b,231
2010-10,Houston,ok,1526
2010-11,Houston,ok,1289
2011-02,Houston,ok,1295
2011-03,Houston,ok,976
2011-01,Houston,ok,1857
2011-04,Houston,ok,710
2011-06,Houston,ok,917
2011-05,Houston,ok,917
2011-07,Houston,ok,621
2011-08,Houston,ok,656
2011-09,Houston,ok,656
2011-11,Houston,error:download failed after 2 tries: truncated download: 704084 of 1894241239 by,259
2012-01,Houston,error:download failed after 2 tries: truncated download: 12500564 of 2012997367 ,207
2012-02,Houston,error:download failed after 2 tries: truncated download: 2293332 of 2122414987 b,35
2011-10,Houston,ok,1156
2011-12,Houston,ok,862
2010-05,Houston,error:download failed after 2 tries: truncated download: 1982036 of 1923227224 b,7220
2012-03,Houston,error:download failed after 2 tries: truncated download: 704084 of 2186072353 by,504
2012-05,Houston,ok,622
