year,ais_cargo_calls,official_container_calls,coverage_ratio,pct_error
2020,2571,1932.0,1.3307453416149069,33.07453416149069
2021,3313,1772.0,1.8696388261851016,86.96388261851015
2022,3115,1712.0,1.8195093457943925,81.95093457943925
2023,2830,1528.0,1.8520942408376964,85.20942408376963
