site,ym,gap,congestion,congestion_k,congestion_lead3,congestion_lead3_k
1302,2019-01,-7.981671159029641,10950.871111111112,10.95087111111111,9966.03388888889,9.966033888888889
1302,2019-02,-8.903029885690675,8186.567222222223,8.186567222222223,10099.349444444444,10.099349444444444
1302,2019-03,-9.475069962686566,8889.297777777778,8.889297777777777,10159.263333333334,10.159263333333334
1302,2019-04,0.5674814356435665,9966.03388888889,9.966033888888889,9705.84861111111,9.70584861111111
1302,2019-05,-3.3956341911764714,10099.349444444444,10.099349444444444,8675.2975,8.675297500000001
1302,2019-06,0.6629127165740449,10159.263333333334,10.159263333333334,9351.215833333334,9.351215833333333
1302,2019-07,1.0864062042727536,9705.84861111111,9.70584861111111,11721.70611111111,11.72170611111111
1302,2019-08,1.7134526038416196,8675.2975,8.675297500000001,9195.142222222223,9.195142222222223
1302,2019-09,-3.648859050553968,9351.215833333334,9.351215833333333,12127.169444444444,12.127169444444444
1302,2019-10,-13.706322155030232,11721.70611111111,11.72170611111111,11567.952222222222,11.567952222222223
1302,2019-11,-9.521359458151911,9195.142222222223,9.195142222222223,9193.380555555555,9.193380555555555
1302,2019-12,-5.932534722222224,12127.169444444444,12.127169444444444,9627.913055555557,9.627913055555556
1302,2020-01,-7.17264132925898,11567.952222222222,11.567952222222223,12260.20388888889,12.260203888888888
1302,2020-02,-9.469461859979104,9193.380555555555,9.193380555555555,11352.880000000001,11.35288
1302,2020-03,-9.777794153770571,9627.913055555557,9.627913055555556,9632.52861111111,9.63252861111111
1302,2020-04,-5.585013157894736,12260.20388888889,12.260203888888888,,
1302,2020-05,2.127843137254901,11352.880000000001,11.35288,,
1302,2020-06,-2.1375380029806266,9632.52861111111,9.63252861111111,7059.807777777778,7.059807777777778
1302,2020-09,-4.838988532784477,7059.807777777778,7.059807777777778,13715.002777777778,13.715002777777778
1302,2020-10,-1.410900647684219,8319.476944444445,8.319476944444444,13433.863611111112,13.433863611111112
1302,2020-11,-1.5819440008516992,10497.379166666668,10.497379166666667,12915.690555555557,12.915690555555557
1302,2020-12,-8.073984507840546,13715.002777777778,13.715002777777778,12397.576111111111,12.397576111111112
1302,2021-01,-7.246238112435297,13433.863611111112,13.433863611111112,19855.01916666667,19.85501916666667
1302,2021-02,-3.8796540110226587,12915.690555555557,12.915690555555557,18910.290833333333,18.91029083333333
1302,2021-03,-10.405209080047788,12397.576111111111,12.397576111111112,17634.19277777778,17.634192777777777
1302,2021-04,-4.812490395287284,19855.01916666667,19.85501916666667,20210.546944444446,20.210546944444445
1302,2021-05,-1.332478632478633,18910.290833333333,18.91029083333333,23233.341666666667,23.233341666666668
1302,2021-06,2.810241118378862,17634.19277777778,17.634192777777777,25432.203611111112,25.432203611111113
1302,2021-07,1.1681987946693813,20210.546944444446,20.210546944444445,23321.485555555555,23.321485555555554
1302,2021-08,0.5176549865229099,23233.341666666667,23.233341666666668,21562.02638888889,21.562026388888892
1302,2021-09,0.9832261976955738,25432.203611111112,25.432203611111113,16630.89361111111,16.630893611111112
1302,2021-10,-7.726259220231821,23321.485555555555,23.321485555555554,14021.428055555556,14.021428055555557
1302,2021-11,0.22866300366300152,21562.02638888889,21.562026388888892,12185.103055555555,12.185103055555555
1302,2021-12,-7.443674150485435,16630.89361111111,16.630893611111112,13487.907500000001,13.4879075
1302,2022-01,-7.602391200382591,14021.428055555556,14.021428055555557,13458.675555555556,13.458675555555555
1302,2022-02,-13.839396235947959,12185.103055555555,12.185103055555555,12767.721944444444,12.767721944444444
