lon,lat,pm25
-118.67520655050244,33.846791787202314,0.00433391266525252
-118.65806195271537,34.017096185762064,0.006102561629824388
-118.6786064290278,34.087126946535186,0.00487162682857158
-118.68889301153602,34.12214360274846,0.004090146632722742
-118.69918917440718,34.157161091326685,0.0032914668230273492
-118.69577388842609,34.25986092419361,0.0030408970460073723
-118.6943441712014,34.274060333731356,0.0030408970460073723
-118.6969231554491,34.2828164192114,0.0030408970460073723
-118.63632102037823,34.09563409621354,0.005077343614724178
-118.64658908093051,34.130655150615965,0.004234509708576655
-118.65686670676065,34.16567703840354,0.0033984847594012335
-118.66715391097749,34.20069974592427,0.0030408970460073723
-118.67745070671334,34.235723259516895,0.0030408970460073723
-118.6837478448142,34.276190730225565,0.0030408970460073723
-118.68632566653945,34.28494709064011,0.0030408970460073723
-118.67458472238964,34.26412089241345,0.0030408970460073723
-118.67315091732668,34.27832011214087,0.0030408970460073723
-118.67572757632333,34.287076747362406,0.0030408970460073723
-118.62255174437534,34.16329699030142,0.0028455844962604307
-118.62768599233543,34.180809787415704,0.0028455844962604307
-118.63282263287584,34.19832278880071,0.0025907645368391406
-118.63796166763655,34.21583599274867,0.0022118474551316865
-118.47177193284665,33.68388976230609,0.01369103963469192
-118.48190786905066,33.718904132372685,0.010442248572632325
-118.49205320012807,33.75391949994987,0.008508395264911206
-118.53272872981054,33.893990674409096,0.004698117053062687
-118.5429212279345,33.92901082624043,0.004840766720854784
-118.55312319816424,33.964031894197184,0.005473490669917939
-118.56333465345237,33.99905386468233,0.004756716984171899
-118.57355560677459,34.03407672408964,0.004724440262244665
-118.58378607112978,34.069100458803455,0.004693095027170512
-118.59402605954013,34.10412505519887,0.003828858203195711
-118.60427558505106,34.139150499641694,0.0032901192663963704
-118.63508151499207,34.24423178477336,0.002029105203475906
-118.64536931982725,34.279260484878364,0.0018661561542119203
-118.60539507898481,34.162102949016834,0.0028455844962604307
-118.60795986513315,34.170859707564105,0.0028455844962604307
-118.61052524876459,34.17961651752303,0.0028455844962604307
-118.61309123008385,34.18837337868019,0.0028455844962604307
-118.61565780929578,34.197130290822145,0.0028477753724249224
-118.61822498660521,34.20588725373542,0.0028477753724249224
-118.62079276221718,34.214644267206545,0.0023650760818613357
-118.62336113633677,34.22340133102195,0.0023650760818613357
-118.59481201430471,34.164224433134805,0.0028455844962604307
-118.59737564021836,34.17298146575696,0.0028455844962604307
-118.59993986337858,34.181738549806646,0.0028455844962604307
-118.60250468398996,34.190495685070445,0.0028455844962604307
-118.6050701022573,34.19925287133494,0.0028477753724249224
-118.6076361183854,34.20801010838667,0.0028477753724249224
-118.61020273257918,34.21676739601206,0.0023650760818613357
-118.6127699450437,34.22552473399764,0.0023650760818613357
-118.58935388054137,34.183859568547284,0.0032801764352892826
-118.59191754024013,34.192616977790294,0.0032801764352892826
-118.59448179735804,34.20137443804988,0.0031302673560889786
-118.59704665209989,34.21013194911252,0.0031302673560889786
-118.59961210467047,34.21888951076476,0.0025529311383568763
-118.60217815527477,34.227647122793016,0.0025529311383568763
-118.60474480411784,34.236404784983755,0.0022114140337214216
-118.60731205140479,34.24516249712328,0.0022114140337214216
-118.52909854834995,33.99664520044007,0.005124056051538515
-118.53419971436642,34.01415805122894,0.005124056051538515
-118.58021716589518,34.17178347466889,0.0032801764352892826
-118.60586589116934,34.259360452038365,0.0022114140337214216
-118.57876730048972,34.185979573646534,0.0032801764352892826
-118.5813297990712,34.194737256741256,0.0032801764352892826
-118.58389289483493,34.203494990868435,0.0031302673560889786
-118.58645658798562,34.21225277581454,0.0031302673560889786
-118.58902087872805,34.221010611366104,0.0025529311383568763
-118.59158576726712,34.22976849730958,0.0025529311383568763
-118.59415125380781,34.23852643343132,0.0022114140337214216
-118.59671733855518,34.24728441951776,0.0022114140337214216
-118.40948178999287,33.622277591620104,0.028575813842595086
-118.42968883800827,33.69231202126768,0.019337034333208863
-118.43980640638726,33.72733076095617,0.01578376724476941
-118.44993335470691,33.76235049918151,0.012275053317019185
-118.47021544238434,33.832392917067324,0.009555114022904803
-118.49053520370126,33.90243916648049,0.005481950769364287
-118.50070924415621,33.937463694079824,0.005427757582176611
-118.51089274168501,33.97248913882632,0.005977750815784845
-118.53128815973123,34.04254272536043,0.005018024119463995
-118.54150010618996,34.07757083992465,0.0049758904211034335
-118.55172156160536,34.11259981718921,0.004144510908206087
-118.56195253900614,34.14762964351921,0.0036567556435544747
-118.60297192985554,34.287757166469866,0.0019221765979730572
-118.51707842244494,34.01295047721318,0.005124056051538515
-118.51962786363212,34.02170736829055,0.005124056051538515
-118.56818012346044,34.18809856500602,0.0032801764352892826
-118.57074146072001,34.19685652182495,0.0032801764352892826
