port_complex_id,transitions,weight
san_pedro_bay,41,0.042443064182194616
houston_tx,273,0.2826086956521739
new_orleans_la,217,0.2246376811594203
boston_ma,198,0.20496894409937888
mobile_al,52,0.053830227743271224
wilmington_nc,185,0.1915113871635611
