date,cpi_goods
2014-04-01,188.779
2014-05-01,188.766
2014-06-01,188.973
2014-07-01,188.869
2014-08-01,188.534
2014-09-01,188.141
2014-10-01,187.522
2014-11-01,186.059
2014-12-01,184.015
2015-01-01,180.302
2015-02-01,181.129
2015-03-01,181.884
2015-04-01,181.641
2015-05-01,182.865
2015-06-01,183.424
2015-07-01,183.437
2015-08-01,182.94
2015-09-01,181.17
2015-10-01,180.851
2015-11-01,180.652
2015-12-01,179.745
2016-01-01,178.786
2016-02-01,177.511
2016-03-01,178.319
2016-04-01,179.289
2016-05-01,179.478
2016-06-01,179.948
2016-07-01,178.87
2016-08-01,178.825
2016-09-01,179.502
2016-10-01,180.091
2016-11-01,179.833
2016-12-01,180.321
2017-01-01,181.536
2017-02-01,181.425
2017-03-01,181.311
2017-04-01,181.247
2017-05-01,180.2
2017-06-01,179.853
2017-07-01,179.472
2017-08-01,180.41
2017-09-01,182.311
2017-10-01,181.841
2017-11-01,182.578
2017-12-01,182.758
2018-01-01,183.957
2018-02-01,184.378
2018-03-01,183.752
2018-04-01,184.54
2018-05-01,184.836
2018-06-01,184.778
2018-07-01,184.568
2018-08-01,184.765
2018-09-01,185.277
2018-10-01,185.742
2018-11-01,184.729
2018-12-01,183.966
2019-01-01,183.057
2019-02-01,183.967
2019-03-01,185.182
2019-04-01,186.211
2019-05-01,185.936
2019-06-01,185.025
2019-07-01,185.372
2019-08-01,184.969
2019-09-01,184.949
2019-10-01,185.47
2019-11-01,186.057
2019-12-01,186.909
2020-01-01,186.754
2020-02-01,186.298
2020-03-01,184.356
2020-04-01,181.461
2020-05-01,181.207
2020-06-01,182.834
2020-07-01,183.628
2020-08-01,184.889
2020-09-01,185.938
2020-10-01,186.248
2020-11-01,186.472
2020-12-01,188.296
2021-01-01,189.42
2021-02-01,190.4
2021-03-01,191.908
2021-04-01,193.647
2021-05-01,195.923
2021-06-01,199.068
2021-07-01,200.178
2021-08-01,201.155
2021-09-01,202.684
2021-10-01,205.875
2021-11-01,208.886
2021-12-01,211.54
2022-01-01,213.262
2022-02-01,215.488
2022-03-01,219.138
2022-04-01,218.636
2022-05-01,221.46
2022-06-01,225.757
2022-07-01,223.995
2022-08-01,222.115
2022-09-01,221.998
2022-10-01,223.553
2022-11-01,223.531
2022-12-01,221.579
2023-01-01,222.601
2023-02-01,222.944
2023-03-01,222.339
2023-04-01,223.316
2023-05-01,223.278
2023-06-01,223.546
2023-07-01,223.086
2023-08-01,224.61
2023-09-01,225.137
2023-10-01,224.505
2023-11-01,223.388
2023-12-01,223.166
2024-01-01,222.9
2024-02-01,223.604
2024-03-01,223.654
2024-04-01,224.088
2024-05-01,223.471
2024-06-01,222.779
2024-07-01,222.451
2024-08-01,222.155
2024-09-01,222.114
2024-10-01,222.085
2024-11-01,222.652
2024-12-01,223.7
2025-01-01,224.629
2025-02-01,224.844
2025-03-01,223.84
2025-04-01,223.805
2025-05-01,223.528
2025-06-01,224.24
2025-07-01,224.168
2025-08-01,225.207
2025-09-01,226.412
