date,cpi_services
2024-03-01,399.455
2024-04-01,400.824
2024-05-01,401.647
2024-06-01,402.381
2024-07-01,403.608
2024-08-01,404.953
2024-09-01,406.464
2024-10-01,407.912
2024-11-01,409.02
2024-12-01,410.191
2025-01-01,412.259
2025-02-01,413.522
2025-03-01,414.261
2025-04-01,415.719
2025-05-01,416.489
2025-06-01,417.673
2025-07-01,419.057
2025-08-01,420.395
2025-09-01,421.205
