site_id,pre_hours,post_hours,pre_coverage,post_coverage,minimum_month_hours,eligible,latitude,longitude,distance_km,poc
06-037-0113,11987,6204,0.9909887566137566,0.9836689392738227,299,True,34.05111,-118.45636,37.667626132588026,1
06-037-1103,11938,6114,0.9869378306878307,0.9693990803868717,299,True,34.06659,-118.22688,34.02214815340078,3
06-037-1302,11658,6225,0.9637896825396826,0.9869985730141113,299,True,33.901389,-118.205,16.05281982625987,1
06-037-1602,11843,5989,0.9790839947089947,0.9495798319327731,147,True,34.01029,-118.0685,32.179511310208376,1
06-037-2005,11997,6175,0.9918154761904762,0.9790708736324718,299,True,34.1326,-118.1272,42.73716147993752,1
06-037-4008,11982,6272,0.9905753968253969,0.9944506104328524,299,True,33.859662,-118.200707,11.726725995748202,1
06-037-4009,11843,6142,0.9790839947089947,0.9738385920405899,297,True,33.793713,-118.171019,7.792735133680875,1
06-037-4010,11930,6252,0.986276455026455,0.9912795306801966,299,True,34.181977,-118.363036,48.045259826791394,1
