Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName
LA_Long_Beach,2009-03,367,4.723315924916742,2.292361111111111,6.485986188331764,0.01597222222222222,30.999305555555555,820506,233.92370572207085,LA_Long_Beach
LA_Long_Beach,2009-01,368,4.484876962560387,2.3649305555555555,6.363713913995378,0.0,30.999305555555555,693797,232.6548913043478,LA_Long_Beach
LA_Long_Beach,2009-04,356,4.700840745942572,2.256597222222222,6.547694734971575,0.05277777777777778,29.999305555555555,757662,239.22191011235955,LA_Long_Beach
LA_Long_Beach,2009-02,310,4.50657482078853,2.154861111111111,6.386717084604335,0.03333333333333333,27.999305555555555,703367,234.11290322580646,LA_Long_Beach
LA_Long_Beach,2009-06,77,1.7138708513708516,1.4847222222222223,1.259009724421375,0.02013888888888889,4.0,81500,239.25974025974025,LA_Long_Beach
LA_Long_Beach,2009-05,339,4.866052114060964,2.2527777777777778,6.913771881093309,0.02847222222222222,30.999305555555555,687111,239.98525073746313,LA_Long_Beach
LA_Long_Beach,2009-07,324,5.076322445130316,2.5944444444444446,6.994988660512836,0.001388888888888889,30.999305555555555,864136,240.90432098765433,LA_Long_Beach
LA_Long_Beach,2009-08,316,4.625197784810126,2.2739583333333333,6.70649972069249,0.0625,30.997916666666665,844948,239.65189873417722,LA_Long_Beach
LA_Long_Beach,2009-11,311,4.16136343336906,2.1951388888888888,6.112612695827792,0.010416666666666666,29.999305555555555,612689,240.2926045016077,LA_Long_Beach
LA_Long_Beach,2009-09,333,4.719461127794461,2.542361111111111,6.3615578361962015,0.030555555555555555,29.99861111111111,1010064,238.87687687687688,LA_Long_Beach
LA_Long_Beach,2009-10,318,5.172613120195668,2.421875,7.516030795339691,0.09305555555555556,30.997916666666665,949720,239.66037735849056,LA_Long_Beach
LA_Long_Beach,2010-03,348,4.115938298212005,2.1468749999999996,5.962899688041529,0.06319444444444444,30.999305555555555,507633,235.86494252873564,LA_Long_Beach
LA_Long_Beach,2010-02,301,4.0378506829088225,2.277083333333333,5.27318407987219,0.009722222222222222,27.95,536516,239.54485049833886,LA_Long_Beach
LA_Long_Beach,2010-01,318,4.628242924528302,2.4930555555555554,6.586702609508403,0.003472222222222222,30.999305555555555,609888,238.0440251572327,LA_Long_Beach
LA_Long_Beach,2009-12,323,4.794298245614035,2.395138888888889,6.869649159431843,0.014583333333333334,30.999305555555555,621288,239.2879256965944,LA_Long_Beach
LA_Long_Beach,2010-05,356,4.386382256554307,2.2538194444444444,6.276123435277256,0.059722222222222225,30.999305555555555,518136,240.93258426966293,LA_Long_Beach
LA_Long_Beach,2010-04,331,4.589184709634106,2.5479166666666666,6.274031362962162,0.08402777777777778,29.999305555555555,527654,236.09667673716012,LA_Long_Beach
LA_Long_Beach,2010-06,366,4.260765786278081,2.4722222222222223,6.051896222856115,0.049305555555555554,29.997916666666665,545412,239.84426229508196,LA_Long_Beach
LA_Long_Beach,2010-07,358,4.485112119801365,2.6173611111111112,6.193408987055209,0.00625,30.997222222222224,608487,244.71787709497207,LA_Long_Beach
LA_Long_Beach,2010-11,357,4.357222611266729,2.4868055555555557,6.030834735134797,0.025694444444444443,29.992361111111112,326404,246.07563025210084,LA_Long_Beach
LA_Long_Beach,2010-10,379,4.240532468484315,2.252083333333333,6.31693062185657,0.004166666666666667,30.997916666666665,406815,239.5646437994723,LA_Long_Beach
LA_Long_Beach,2010-09,375,4.126933333333333,2.2270833333333333,6.065587699705368,0.041666666666666664,29.999305555555555,605332,246.20533333333333,LA_Long_Beach
LA_Long_Beach,2010-08,388,4.053638674112257,2.482986111111111,5.623376483563796,0.002777777777777778,30.997916666666665,608987,242.86082474226805,LA_Long_Beach
LA_Long_Beach,2010-12,337,3.461780827563469,1.8076388888888888,5.05014254538018,0.0,28.147222222222222,212134,244.15727002967358,LA_Long_Beach
LA_Long_Beach,2011-01,343,3.3134232264334305,2.0819444444444444,4.489767511213421,0.0,26.02777777777778,224937,239.97667638483966,LA_Long_Beach
LA_Long_Beach,2011-03,368,4.026939915458937,2.125,5.814768674221817,0.010416666666666666,30.997916666666665,251865,235.2391304347826,LA_Long_Beach
LA_Long_Beach,2011-04,378,4.398025058788948,2.4781250000000004,5.649647541569161,0.007638888888888889,29.99861111111111,300046,238.005291005291,LA_Long_Beach
LA_Long_Beach,2011-02,351,3.7546573282684395,2.2472222222222222,4.911383561724284,0.009027777777777777,27.999305555555555,265405,239.41310541310543,LA_Long_Beach
LA_Long_Beach,2011-06,384,4.083765552662038,2.213541666666667,5.503845463459027,0.009722222222222222,29.997916666666665,302790,245.80729166666666,LA_Long_Beach
LA_Long_Beach,2011-05,377,4.350373931623932,2.254861111111111,5.921046848562038,0.02847222222222222,30.997916666666665,319090,243.946949602122,LA_Long_Beach
LA_Long_Beach,2011-07,380,4.230498903508772,2.1878472222222225,5.889186710850754,0.04513888888888889,30.997916666666665,399471,242.7578947368421,LA_Long_Beach
LA_Long_Beach,2011-08,377,3.972970085470086,2.225,5.531080964872048,0.04027777777777778,30.99861111111111,396661,243.15649867374006,LA_Long_Beach
LA_Long_Beach,2011-12,323,4.245439886480908,2.520138888888889,5.715200990127202,0.15069444444444444,30.980555555555554,271518,244.97213622291022,LA_Long_Beach
LA_Long_Beach,2011-11,337,4.5717853610286845,2.5625,6.0453875478978905,0.0,29.99375,255768,243.7240356083086,LA_Long_Beach
LA_Long_Beach,2011-09,363,4.271177685950414,2.317361111111111,6.159515577202225,0.05347222222222222,29.99861111111111,378196,246.58126721763085,LA_Long_Beach
LA_Long_Beach,2011-10,350,4.427605158730159,2.453472222222222,6.233448040135696,0.002777777777777778,30.560416666666665,381420,243.62857142857143,LA_Long_Beach
LA_Long_Beach,2012-03,334,3.9854820913728104,2.2699421296296296,5.812286385558863,0.01758101851851852,30.997002314814814,200269,242.3443113772455,LA_Long_Beach
LA_Long_Beach,2012-01,308,3.991734795875421,2.1550462962962964,5.3911963714697455,0.009166666666666667,27.32994212962963,220373,243.62662337662337,LA_Long_Beach
LA_Long_Beach,2012-04,338,3.961205141902257,2.553587962962963,5.446839708578308,0.06956018518518518,29.997847222222223,254921,239.48224852071007,LA_Long_Beach
LA_Long_Beach,2012-02,315,4.118668173133451,2.074988425925926,6.084465182391272,0.01019675925925926,28.996423611111112,228289,239.2031746031746,LA_Long_Beach
LA_Long_Beach,2012-06,338,4.125097318102125,2.619178240740741,5.787270613383367,0.007210648148148148,29.99675925925926,306522,251.2189349112426,LA_Long_Beach
LA_Long_Beach,2012-05,332,4.268025783690317,2.534849537037037,5.821365476242589,0.05628472222222222,30.998761574074074,256581,248.45481927710844,LA_Long_Beach
LA_Long_Beach,2012-07,347,4.218709507418081,2.6072106481481483,5.750284328268289,0.0600462962962963,30.999305555555555,399524,250.47550432276657,LA_Long_Beach
LA_Long_Beach,2012-08,347,4.143423057423417,2.5775,5.839262436714097,0.011331018518518518,30.99888888888889,440228,248.03458213256485,LA_Long_Beach
LA_Long_Beach,2012-12,359,5.030025662849479,2.903912037037037,6.302137190959595,0.057199074074074076,30.998032407407408,391324,246.84401114206128,LA_Long_Beach
LA_Long_Beach,2012-11,331,4.10591368747902,2.4394212962962962,5.614936053284136,0.005231481481481481,29.998993055555555,301049,245.04229607250755,LA_Long_Beach
LA_Long_Beach,2012-10,350,4.323426851851852,2.3952488425925926,6.331768069133885,0.03356481481481482,30.99945601851852,297303,248.00571428571428,LA_Long_Beach
LA_Long_Beach,2012-09,333,3.9496519436102773,2.4976967592592594,5.56268190744633,0.002199074074074074,29.99738425925926,391770,249.4894894894895,LA_Long_Beach
LA_Long_Beach,2013-02,310,4.073557086320191,2.486452546296296,5.539279175068058,0.006701388888888889,27.998958333333334,203529,251.17741935483872,LA_Long_Beach
LA_Long_Beach,2013-01,338,4.379125951950471,2.438570601851852,6.084040490886293,0.0018402777777777777,30.999259259259258,276555,249.0621301775148,LA_Long_Beach
LA_Long_Beach,2013-04,337,4.121143497911858,2.4854861111111113,5.6478414668882095,0.0043055555555555555,29.991701388888888,257187,248.59347181008903,LA_Long_Beach
LA_Long_Beach,2013-03,334,4.116586306553559,2.1616666666666666,5.956335658807584,0.10396990740740741,30.981180555555557,242030,243.22754491017963,LA_Long_Beach
LA_Long_Beach,2013-05,346,4.261471044744166,2.375601851851852,6.271936159401726,0.04203703703703704,30.995752314814816,258527,250.18208092485548,LA_Long_Beach
LA_Long_Beach,2013-06,351,4.211086380183603,2.5867939814814815,5.688351304567761,0.006377314814814815,29.99568287037037,279571,246.17378917378917,LA_Long_Beach
LA_Long_Beach,2013-07,368,4.104473568337359,2.5150636574074072,5.684905749999111,0.006030092592592593,30.99709490740741,443165,248.9320652173913,LA_Long_Beach
LA_Long_Beach,2013-08,368,4.313096284973833,2.554288194444444,6.035132473787348,0.001388888888888889,30.99386574074074,513262,246.23097826086956,LA_Long_Beach
LA_Long_Beach,2013-09,340,4.281445295479303,2.6446122685185185,5.641278017976065,0.02929398148148148,29.999594907407406,567736,252.0264705882353,LA_Long_Beach
LA_Long_Beach,2013-12,330,3.768387521043771,2.4668113425925924,5.0684943796312725,0.05207175925925926,30.997916666666665,417100,252.29090909090908,LA_Long_Beach
LA_Long_Beach,2014-02,304,3.9614265046296295,2.5171354166666666,5.444300720801671,0.0,27.998877314814816,439356,243.63486842105263,LA_Long_Beach
LA_Long_Beach,2013-11,326,4.01372773943422,2.2177835648148148,5.698573468546086,0.044710648148148145,29.998472222222222,473442,247.33742331288343,LA_Long_Beach
LA_Long_Beach,2014-01,329,3.8971933398063716,2.584201388888889,5.292196789565152,0.0,30.999618055555555,501380,254.88145896656536,LA_Long_Beach
LA_Long_Beach,2013-10,331,4.368716291820521,2.2720023148148147,6.606576541016036,0.010555555555555556,30.99883101851852,581950,250.77945619335347,LA_Long_Beach
LA_Long_Beach,2014-06,329,4.523602456940223,2.683877314814815,5.921584574206566,0.043055555555555555,29.994351851851853,144707,253.95744680851064,LA_Long_Beach
LA_Long_Beach,2014-07,342,4.846360968973359,2.7025289351851853,6.388887123871765,0.00787037037037037,30.98962962962963,245797,254.49122807017545,LA_Long_Beach
LA_Long_Beach,2014-05,353,4.31759033023817,2.5449537037037038,6.102998149585267,0.0,30.998969907407407,448139,249.60623229461757,LA_Long_Beach
LA_Long_Beach,2014-03,325,3.8203589387464385,2.2045601851851853,5.468069491462606,0.039189814814814816,30.999907407407406,474212,249.19076923076923,LA_Long_Beach
LA_Long_Beach,2014-04,331,3.8210536253776435,2.478287037037037,5.269070536333278,0.009606481481481481,29.999340277777776,514212,249.8368580060423,LA_Long_Beach
LA_Long_Beach,2014-11,274,4.436536817383076,2.8060879629629634,5.172330875861529,0.0,26.211689814814815,117009,259.6861313868613,LA_Long_Beach
LA_Long_Beach,2014-08,344,4.52419243916882,3.0191898148148146,5.820135155522487,0.03357638888888889,30.99375,242057,256.2761627906977,LA_Long_Beach
LA_Long_Beach,2014-09,308,4.308964984668109,2.8919791666666668,5.61739299238028,0.0,29.995821759259258,208777,261.48376623376623,LA_Long_Beach
LA_Long_Beach,2014-10,322,5.074955968196457,3.68109375,5.644628731018197,0.0,30.416689814814816,213473,261.5031055900621,LA_Long_Beach
LA_Long_Beach,2014-12,331,5.811014392413561,3.6247106481481484,6.362774183133128,0.001388888888888889,30.99832175925926,787834,262.16616314199393,LA_Long_Beach
Savannah,2009-02,197,1.680298223350254,0.88125,3.630005069154091,0.002777777777777778,27.888194444444444,165107,226.40609137055839,Savannah
Savannah,2009-03,209,1.8498238968633705,0.8347222222222223,4.267934505285409,0.0,30.810416666666665,173105,232.72727272727272,Savannah
Savannah,2009-01,213,2.007224830464267,0.8527777777777777,4.5276149913937465,0.0,30.90625,245072,234.82159624413146,Savannah
Savannah,2009-06,29,0.9551963601532567,0.8229166666666666,0.630095810735221,0.23402777777777778,3.7916666666666665,17553,229.10344827586206,Savannah
Savannah,2009-04,206,1.9202063106796117,0.7711805555555555,4.043005421273126,0.03819444444444445,29.354166666666668,175926,238.4271844660194,Savannah
Savannah,2009-07,218,1.7517361111111112,0.7774305555555556,4.088754364071939,0.013194444444444444,28.393055555555556,154510,234.3302752293578,Savannah
Savannah,2009-08,223,2.095338191330344,0.7958333333333333,4.729768190333192,0.034027777777777775,30.219444444444445,169733,238.5829596412556,Savannah
Savannah,2009-05,218,1.5426541794087667,0.8006944444444445,3.146266193482882,0.02638888888888889,27.913888888888888,161902,236.10091743119267,Savannah
Savannah,2009-09,209,1.711376927166401,0.7958333333333333,3.6000806635819327,0.04236111111111111,24.950694444444444,142577,233.26794258373207,Savannah
Savannah,2009-10,223,2.374009715994021,0.8270833333333333,5.572634926980854,0.10416666666666667,30.934722222222224,187502,238.4798206278027,Savannah
Savannah,2009-11,202,1.4591549779978,0.8423611111111111,3.08291117063163,0.14375,29.948611111111113,168491,235.45049504950495,Savannah
Savannah,2010-01,203,1.6881499726327314,0.8486111111111111,3.6735486172627096,0.010416666666666666,28.500694444444445,143342,232.5320197044335,Savannah
Savannah,2009-12,207,1.9195115405260335,0.8611111111111112,4.388929276187307,0.0125,30.929861111111112,205348,235.68599033816426,Savannah
Savannah,2010-02,199,1.9026242322724733,0.90625,3.762627160369695,0.04791666666666667,26.113888888888887,164673,232.25628140703517,Savannah
Savannah,2010-03,220,2.0593339646464646,0.8732638888888888,4.615099408953484,0.004861111111111111,30.961111111111112,187578,227.43636363636364,Savannah
Savannah,2010-04,215,1.784156976744186,0.8256944444444444,4.0458085325416,0.002777777777777778,29.99652777777778,229874,231.14418604651163,Savannah
Savannah,2010-05,230,2.0061684782608693,0.9072916666666666,4.643301295138512,0.07569444444444444,30.99861111111111,207181,230.2608695652174,Savannah
Savannah,2010-06,220,1.947427398989899,0.9,4.307039478643492,0.0,29.977777777777778,203359,234.01818181818183,Savannah
Savannah,2010-07,244,1.9821664389799636,0.8510416666666667,4.104483219701699,0.06597222222222222,25.99861111111111,203560,235.09016393442624,Savannah
Savannah,2010-08,233,2.140498330948975,0.8236111111111111,4.810768938383273,0.003472222222222222,29.822916666666668,175601,231.1931330472103,Savannah
Savannah,2010-09,232,1.7966714559386974,0.8298611111111112,3.617127530889543,0.06388888888888888,22.4125,170190,236.1293103448276,Savannah
Savannah,2010-11,217,1.9344918074756785,0.83125,4.109762980775016,0.11944444444444445,29.997222222222224,127616,236.08294930875576,Savannah
Savannah,2011-01,232,1.8344169061302682,0.8461805555555555,3.6062757316958205,0.03819444444444445,28.563194444444445,183263,238.1206896551724,Savannah
Savannah,2011-02,221,1.462100930115636,0.8347222222222223,2.9367340098501242,0.004166666666666667,27.995833333333334,160352,237.79185520361992,Savannah
Savannah,2010-12,229,1.984697962154294,0.8541666666666666,3.972270853089136,0.041666666666666664,28.586805555555557,186521,238.74235807860262,Savannah
Savannah,2011-06,235,1.7923847517730496,0.85,4.031974275743464,0.01597222222222222,28.19236111111111,179833,236.65106382978723,Savannah
