YearMonth,Port,status,seconds
2012-01,NY_NJ,ok,284
2012-02,NY_NJ,ok,311
2012-03,NY_NJ,ok,316
2012-04,NY_NJ,ok,311
2012-05,NY_NJ,ok,431
2012-06,NY_NJ,ok,484
2012-07,NY_NJ,ok,444
2012-08,NY_NJ,ok,439
2012-09,NY_NJ,ok,535
2012-11,NY_NJ,ok,533
2012-10,NY_NJ,ok,534
2013-01,NY_NJ,ok,203
2012-12,NY_NJ,ok,470
2013-02,NY_NJ,ok,339
2013-03,NY_NJ,ok,382
2013-04,NY_NJ,ok,513
2013-05,NY_NJ,ok,513
2013-06,NY_NJ,ok,589
2013-07,NY_NJ,ok,546
2013-09,NY_NJ,ok,587
2013-08,NY_NJ,ok,588
2013-11,NY_NJ,ok,404
2013-10,NY_NJ,ok,507
2013-12,NY_NJ,ok,424
2014-01,NY_NJ,ok,424
2014-02,NY_NJ,ok,279
2014-03,NY_NJ,ok,296
2014-05,NY_NJ,ok,488
2014-04,NY_NJ,ok,490
2014-07,NY_NJ,ok,285
2014-06,NY_NJ,ok,405
2014-11,NY_NJ,ok,50
2014-10,NY_NJ,ok,247
2014-09,NY_NJ,ok,249
2014-08,NY_NJ,ok,251
2014-12,NY_NJ,ok,342
2009-02,Seattle,ok,259
2009-01,Seattle,ok,289
2009-06,Seattle,ok,34
2009-03,Seattle,ok,324
2009-04,Seattle,ok,327
2009-05,Seattle,ok,305
2009-08,Seattle,ok,368
2009-07,Seattle,ok,370
2009-09,Seattle,ok,303
2009-10,Seattle,ok,300
2009-11,Seattle,ok,411
2010-01,Seattle,ok,330
2010-02,Seattle,ok,241
2009-12,Seattle,ok,411
2010-06,Seattle,ok,356
2010-03,Seattle,ok,357
2010-04,Seattle,ok,358
2010-05,Seattle,ok,358
2010-08,Seattle,ok,343
2010-10,Seattle,ok,369
2010-07,Seattle,ok,372
2010-09,Seattle,ok,372
2011-02,Seattle,ok,310
2011-01,Seattle,ok,312
2010-11,Seattle,ok,340
2010-12,Seattle,ok,313
2011-06,Seattle,ok,317
2011-03,Seattle,ok,318
2011-04,Seattle,ok,320
2011-05,Seattle,ok,320
2011-07,Seattle,ok,273
2011-08,Seattle,ok,362
2011-09,Seattle,ok,360
2011-10,Seattle,ok,360
2011-11,Seattle,ok,154
2012-02,Seattle,ok,315
2012-01,Seattle,ok,317
2011-12,Seattle,ok,317
2012-03,Seattle,ok,252
2012-04,Seattle,ok,309
2012-06,Seattle,ok,335
2012-07,Seattle,ok,398
