outcome,event,estimate,standard_error,ci_low,ci_high,p_value,n_pre_weeks,n_mature_weeks,window_weeks,sensitivity,draws,block_weeks
ddd_west,2021-11-16,-0.7660271198278802,2.709333786615139,-6.07622376369108,4.544169524035319,0.7773789567263211,26.0,15.0,26.0,ddd_26_week,,
ddd_west,2021-11-16,0.13573992074718016,0.1295846102213562,-0.11824124823733895,0.3897210897316993,0.29486888440668324,77.0,66.0,78.0,ddd_78_week,,
ddd4_west,2021-11-16,0.738543723713217,0.35346199173323406,0.04577095001228393,1.4313164974141501,0.03666658171658374,51.0,41.0,52.0,low_under_4_knots,,
low_0-50nm,,-652.753638040582,,-884.0651192184191,-406.22277959964487,,,,,block_4_weeks,10000.0,4.0
low_150-300nm,,106.50345016055202,,35.12914190066267,155.2750170800027,,,,,block_4_weeks,10000.0,4.0
low_0-50nm,,-652.753638040582,,-878.1511631481861,-322.8723884675822,,,,,block_12_weeks,10000.0,12.0
low_150-300nm,,106.50345016055202,,11.537198537951772,157.25735977317754,,,,,block_12_weeks,10000.0,12.0
