week_start,speed_bin,ring,mean_daily_hours,days_included
2019-02-04,10-15,50-150nm,75.57142857142857,7
2019-02-04,15-25,0-50nm,4.714285714285714,7
2019-02-04,15-25,150-300nm,122.28571428571429,7
2019-02-04,15-25,50-150nm,47.714285714285715,7
2019-02-04,2-4,0-50nm,5.0,7
2019-02-04,2-4,150-300nm,3.142857142857143,7
2019-02-04,2-4,50-150nm,3.7142857142857144,7
2019-02-04,4-6,0-50nm,6.428571428571429,7
2019-02-04,4-6,150-300nm,4.0,7
2019-02-04,4-6,50-150nm,2.0,7
2019-02-04,6-10,0-50nm,24.0,7
2019-02-04,6-10,150-300nm,27.428571428571427,7
2019-02-04,6-10,50-150nm,17.428571428571427,7
2019-02-04,<2,0-50nm,535.5714285714286,7
2019-02-04,<2,150-300nm,86.28571428571429,7
2019-02-04,<2,50-150nm,64.85714285714286,7
2019-02-04,>25,0-50nm,0.0,7
2019-02-04,>25,150-300nm,0.0,7
2019-02-04,>25,50-150nm,0.0,7
2019-02-11,10-15,0-50nm,49.142857142857146,7
2019-02-11,10-15,150-300nm,135.71428571428572,7
2019-02-11,10-15,50-150nm,80.0,7
2019-02-11,15-25,0-50nm,5.857142857142857,7
2019-02-11,15-25,150-300nm,98.71428571428571,7
2019-02-11,15-25,50-150nm,43.0,7
2019-02-11,2-4,0-50nm,5.857142857142857,7
2019-02-11,2-4,150-300nm,3.857142857142857,7
2019-02-11,2-4,50-150nm,3.7142857142857144,7
2019-02-11,4-6,0-50nm,8.0,7
2019-02-11,4-6,150-300nm,2.5714285714285716,7
2019-02-11,4-6,50-150nm,5.285714285714286,7
2019-02-11,6-10,0-50nm,24.428571428571427,7
2019-02-11,6-10,150-300nm,28.0,7
2019-02-11,6-10,50-150nm,16.285714285714285,7
2019-02-11,<2,0-50nm,577.8571428571429,7
2019-02-11,<2,150-300nm,62.0,7
2019-02-11,<2,50-150nm,84.85714285714286,7
2019-02-11,>25,0-50nm,0.0,7
2019-02-11,>25,150-300nm,0.0,7
2019-02-11,>25,50-150nm,0.0,7
2019-02-18,10-15,0-50nm,47.57142857142857,7
2019-02-18,10-15,150-300nm,143.57142857142858,7
2019-02-18,10-15,50-150nm,70.71428571428571,7
2019-02-18,15-25,0-50nm,4.142857142857143,7
2019-02-18,15-25,150-300nm,118.85714285714286,7
2019-02-18,15-25,50-150nm,44.57142857142857,7
2019-02-18,2-4,0-50nm,4.571428571428571,7
2019-02-18,2-4,150-300nm,2.2857142857142856,7
2019-02-18,2-4,50-150nm,4.0,7
2019-02-18,4-6,0-50nm,6.285714285714286,7
2019-02-18,4-6,150-300nm,7.285714285714286,7
2019-02-18,4-6,50-150nm,3.2857142857142856,7
2019-02-18,6-10,0-50nm,26.714285714285715,7
2019-02-18,6-10,150-300nm,34.42857142857143,7
2019-02-18,6-10,50-150nm,26.571428571428573,7
2019-02-18,<2,0-50nm,524.8571428571429,7
2019-02-18,<2,150-300nm,60.857142857142854,7
2019-02-18,<2,50-150nm,35.714285714285715,7
2019-02-18,>25,0-50nm,0.0,7
2019-02-18,>25,150-300nm,0.0,7
2019-02-18,>25,50-150nm,0.0,7
2019-02-25,10-15,0-50nm,51.714285714285715,7
2019-02-25,10-15,150-300nm,167.57142857142858,7
2019-02-25,10-15,50-150nm,87.71428571428571,7
2019-02-25,15-25,0-50nm,5.571428571428571,7
2019-02-25,15-25,150-300nm,114.71428571428571,7
2019-02-25,15-25,50-150nm,45.142857142857146,7
2019-02-25,2-4,0-50nm,4.571428571428571,7
2019-02-25,2-4,150-300nm,2.0,7
2019-02-25,2-4,50-150nm,1.7142857142857142,7
2019-02-25,4-6,0-50nm,6.285714285714286,7
2019-02-25,4-6,150-300nm,1.2857142857142858,7
2019-02-25,4-6,50-150nm,1.7142857142857142,7
2019-02-25,6-10,0-50nm,20.714285714285715,7
2019-02-25,6-10,150-300nm,13.0,7
2019-02-25,6-10,50-150nm,11.857142857142858,7
2019-02-25,<2,0-50nm,532.7142857142857,7
2019-02-25,<2,150-300nm,34.42857142857143,7
2019-02-25,<2,50-150nm,48.285714285714285,7
2019-02-25,>25,0-50nm,0.0,7
2019-02-25,>25,150-300nm,0.0,7
2019-02-25,>25,50-150nm,0.0,7
2019-03-04,10-15,0-50nm,43.0,7
2019-03-04,10-15,150-300nm,132.42857142857142,7
2019-03-04,10-15,50-150nm,63.142857142857146,7
2019-03-04,15-25,0-50nm,3.0,7
2019-03-04,15-25,150-300nm,119.28571428571429,7
2019-03-04,15-25,50-150nm,43.0,7
2019-03-04,2-4,0-50nm,4.285714285714286,7
2019-03-04,2-4,150-300nm,1.4285714285714286,7
2019-03-04,2-4,50-150nm,1.7142857142857142,7
2019-03-04,4-6,0-50nm,4.714285714285714,7
2019-03-04,4-6,150-300nm,1.0,7
2019-03-04,4-6,50-150nm,2.4285714285714284,7
2019-03-04,6-10,0-50nm,20.0,7
2019-03-04,6-10,150-300nm,10.714285714285714,7
2019-03-04,6-10,50-150nm,11.142857142857142,7
2019-03-04,<2,0-50nm,352.2857142857143,7
2019-03-04,<2,150-300nm,61.57142857142857,7
2019-03-04,<2,50-150nm,50.142857142857146,7
2019-03-04,>25,0-50nm,0.0,7
2019-03-04,>25,150-300nm,0.0,7
2019-03-04,>25,50-150nm,0.0,7
2019-03-11,10-15,0-50nm,53.42857142857143,7
2019-03-11,10-15,150-300nm,120.57142857142857,7
2019-03-11,10-15,50-150nm,66.57142857142857,7
2019-03-11,15-25,0-50nm,2.857142857142857,7
2019-03-11,15-25,150-300nm,93.28571428571429,7
2019-03-11,15-25,50-150nm,49.857142857142854,7
2019-03-11,2-4,0-50nm,3.857142857142857,7
2019-03-11,2-4,150-300nm,2.0,7
2019-03-11,2-4,50-150nm,1.2857142857142858,7
2019-03-11,4-6,0-50nm,8.0,7
2019-03-11,4-6,150-300nm,4.571428571428571,7
